section,heading,xpath,auth_file,auth_xpath_1,auth_xpath_2,comment
surrogates,partial digital facsimile URI(s),"(//tei:msDesc|//tei:msPart)/string-join(tei:additional/tei:surrogates//tei:bibl[@subtype=""partial""][@type=""digital-facsimile""]/tei:ref/@target, "" "")",,,,"The URI(s) for the partial digital facsimile(s) for this manuscript part, if at least one exists."
printed resources,printed resource bibliography,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/string-join(.//text(), """"), ""; ""))",,,,"Printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
printed resources,printed resource URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/tei:ref/@target, "" ""))",,,,"URIs for the printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
printed resources,printed resource ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/@xml:id, "" ""))",,,,"Identifiers for the printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
online resources,JONAS URI,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[contains(.,""JONAS"")]//tei:ref/@target, "" ""))",,,,Entries in the JONAS database associated with the manuscript or manuscript part within the additional element.
online resources,online resource bibliography,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[not(contains(.,""JONAS""))]/string-join(.//text(), """"), ""; ""))",,,,"Other online resources associated with the manuscript or manuscript part within the additional element, with @type either ""WEB"" or ""ONLINE""."
online resources,online resource URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[not(contains(.,""JONAS""))]//tei:ref/@target, "" ""))",,,,"URIs for the other online resources associated with the manuscript or manuscript part within the additional element, with @type either ""WEB"" or ""ONLINE""."
online resources,online resource ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl/@xml:id, "" ""))",,,,"Identifiers for the other online resources associated with the manuscript or manuscript part within the additional element, with @type either ""WEB"" or ""ONLINE""."
general codicology,form,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/@form, "" "")",,,,"The physical form of the manuscript or manuscript part, taken from the @form attribute of the objectDesc element. Common values include codex, roll, sheet, booklet, quire, faltbuch, roll-codex, other, and unknown."
general codicology,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:condition//text(), "" ""))",,,,"The condition of the manuscript or manuscript part, contained within the condition element in the support description."
general codicology,support,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/@material, "" "")",,,,"The primary support material of the manuscript or manuscript part, contained within the @material attribute to the support description. Common value include perg (for parchment/vellum), chart (for any kind of paper), papyrus, palm (for palm leaves), mixed (for paper and parchment), other, and unknown."
general codicology,watermark,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:support/tei:watermark, "" "")",,,,"Details of any watermark(s) on the support of the manuscript or manuscript part, extracted from the watermark element within the support description."
general codicology,extent,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent//text()[not(ancestor::tei:dimensions)], ""; ""))",,,,"Details of the manuscript or manuscript part's extent, usually in folios. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals."
general codicology,collation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/string-join((.//text()[not(parent::tei:hi[contains(@rend,""superscript"")])], .//tei:hi[contains(@rend,""superscript"")]/concat(""("", ., "")"")), """"), ""; ""))",,,,"Details of the manuscript or manuscript part's collation, extracted from the collation element within the support description."
general codicology,mainStructures,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/@mainStructures, "" "")",,,,"Details of the collation structures (that is, the number of leaves per quire) that account for at least 80% of the manuscript or manuscript part. Where multiple values are included (separated by a space), the first value is taken to be the most frequent."
general codicology,additions,(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:additions),,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains additions which have been recorded in an additions element within the physical description. More granular details of these additions are included in a separate table.
general codicology,foliation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:foliation//text(), "" ""))",,,,"Details of the manuscript or manuscript part's foliation, as given in the foliation element of the support description. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals. Multiple rounds of foliation may be contained within the same field, and sometimes writing media are recorded."
general palaeography,hands,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:handDesc/@hands, "" "")",,,,"The total number of hands contained within the manuscript or manuscript part, as given in the @hands attribute to the handDesc element within the physical description."
general palaeography,script,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(./tei:physDesc/tei:handDesc/tei:handNote/@script), "" "")",,,,"Details of the script types found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description. Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
general palaeography,mainScript,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(./tei:physDesc/tei:handDesc/tei:handNote[not(@scope=""minor"")]/@script), "" "")",,,,"Details of the main script type found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description which do not also contain @scope with value ""minor"". Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
general palaeography,execution,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(./tei:physDesc/tei:handDesc/tei:handNote/@execution), "" "")",,,,"Details of the execution of the hand(s) in the manuscript or manuscript part contained within the @execution element to individual handNote elements within the hand description. Common values include formata, libraria, and currens."
general palaeography,medium,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(./tei:physDesc/tei:handDesc/tei:handNote/@medium), "" "")",,,,"Details of the the tint or type of ink or other writing medium of the hand(s) in the manuscript or manuscript part contained within the @medium attribute to individual handNote elements within the hand description. Common values include ink, pencil, and colours (e.g. brown)."
non-textual contents,musicNotation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:musicNotation, "" ""))",,,,"Details of any musical notation found within the manuscript or manuscript part, as encoded within the musicNotation element in the physical description."
non-textual contents,decoration miniature,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""miniature"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as miniatures within individual decoNote elements within the decoration description.
non-textual contents,decoration drawing,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""drawing"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as drawings within individual decoNote elements within the decoration description.
non-textual contents,decoration border,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""border"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as borders within individual decoNote elements within the decoration description.
non-textual contents,decoration diagram,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""diagram"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as diagrams within individual decoNote elements within the decoration description.
non-textual contents,decoration histInit,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""histInit"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as historiated initials within individual decoNote elements within the decoration description.
non-textual contents,decoration decInit,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""decInit"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as decorated initials within individual decoNote elements within the decoration description.
non-textual contents,decoration flourInit,"(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:decoDesc/tei:decoNote/@type = ""flourInit"")",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations which have been classed as flourished initials within individual decoNote elements within the decoration description.
non-textual contents,decoration misc.,"(//tei:msDesc|//tei:msPart)/boolean(./tei:physDesc/not(contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""miniature"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""drawing"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""border"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""diagram"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""histInit"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""decInit"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""flourInit"") or contains(string-join(tei:decoDesc/tei:decoNote/@type, """"), ""none"")))",,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains decorations within individual decoNote elements within the decoration description which have been classed as some type other than those given in the preceding columns.
binding,binding,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/*[not(self::tei:condition or self::tei:decoNote)]//text(), "" ""))",,,,"Details of the binding of the manuscript or manuscript part as given in the binding element within the binding description, excluding details of the binding's condition and any decoration, which are given in columns BH and BJ respectively."
binding,binding contemporary,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@contemporary, "" "")",,,,"A boolean (true/false) value expressing whether or not the binding of the manuscript or manuscript part is contemporary with the manuscript or manuscript part itself, as encoded within the @contemporary attribute to the binding element within the binding description."
binding,binding not after,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@notAfter, "" "")",,,,"The date before which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notAfter element of the binding element within the binding description."
binding,binding not before,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@notBefore, "" "")",,,,"The date after which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notBefore element of the binding element within the binding description."
binding,binding height,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" "")",,,,"The height of the binding of the manuscript or manuscript part, as encoded within the height element within a dimensions element with @type ""binding"", contained within the support description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,binding height max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" "")",,,,
binding,binding height min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" "")",,,,
binding,binding width,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" "")",,,,"The width of the binding of the manuscript or manuscript part, as encoded within the width element within a dimensions element with @type ""binding"", contained within the support description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,binding width max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" "")",,,,
binding,binding width min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" "")",,,,
binding,binding depth,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:depth[not(@quantity)]|tei:depth[@quantity]/@quantity), "" "")",,,,
binding,binding depth max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:depth/@max|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" "")",,,,
binding,binding depth min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/(tei:depth/@min|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" "")",,,,
binding,binding unit,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""binding""]/@unit, "" "")",,,,"The unit of the binding measurements, as encoded within the unit element of a dimensions element with @type ""binding"", within the support description. Common values are mm and in."
binding,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:condition//text(), "" ""))",,,,Details of the condition of the binding of the manuscript or manuscript part as given in the condition element within the binding description.
binding,decoNote,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:decoNote//text(), "" ""))",,,,Details of any decoration to the binding of the manuscript or manuscript part as given in decoNote elements within the binding description.
leaves,leaves,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent//tei:measure[@type=""leaf""]/@quantity, "" "")",,,,"An integer count of the number of leaves within the manuscript or manuscript part, encoded within the @quantity attribute to a measure element with @type ""leaf"" within the support description."
leaves,leaf height,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" "")",,,,"The height of the leaves of the manuscript or manuscript part, as encoded within the height element within a dimensions element with @type ""leaf"", contained within the support description. This value may or may not be numeric, and may be formatted as a range. When multiple values appear, they are separated by a whitespace. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf height max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" "")",,,,"The maximum height of the leaves of the manuscript or manuscript part, as encoded within the @max attribute of the height element within a dimensions element with @type ""leaf"", contained within the support description. This value is numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf height min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" "")",,,,"The minimum height of the leaves of the manuscript or manuscript part, as encoded within the @min attribute of the height element within a dimensions element with @type ""leaf"", contained within the support description. This value is numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf width,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" "")",,,,"The width of the leaves of the manuscript or manuscript part, as encoded within the width element within a dimensions element with @type ""leaf"", contained within the support description. This value may or may not be numeric, and may be formatted as a range. When multiple values appear, they are separated by a whitespace. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf width max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" "")",,,,"The maximum width of the leaves of the manuscript or manuscript part, as encoded within the @max attribute of the width element within a dimensions element with @type ""leaf"", contained within the support description. This value is numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf width min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" "")",,,,"The minimum width of the leaves of the manuscript or manuscript part, as encoded within the @min attribute of the width element within a dimensions element with @type ""leaf"", contained within the support description. This value is numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,leaf depth,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:depth[not(@quantity)]|tei:depth[@quantity]/@quantity), "" "")",,,,
leaves,leaf depth max,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:depth/@max|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" "")",,,,
leaves,leaf depth min,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""leaf""]/(tei:depth/@min|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" "")",,,,
