section,heading,xpath,auth_file,auth_section,auth_col,separator,format,comment
origin,org,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[not(@type=""addition"" or @type=""additions"")]//tei:orgName/string-join(., """"), ""; ""))",,,,,text,"Details of the origin organisation of the manuscript or manuscript part, as encoded within an orgName element within an origPlace element which does not contain details of additions (and therefore does not have @type ""addition"" or ""additions"")."
origin,org ID,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origPlace[not(@type=""addition"" or @type=""additions"")]//tei:orgName/@key), "" "")",,,,,text,"The identifier given to the origin organisation given for the manuscript or manuscript part, as found in the @key attribute to the orgName element within an origPlace element which does not contain details of additions (and therefore does not have @type ""addition"" or ""additions""), which corresponds to that found in the authority file."
additions,date,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/string-join(., """"), "" ""))",,,,,date,"Details of the date of origin of additions to the manuscript or manuscript part, as encoded within an origDate element which contains details of additions (and therefore has @type ""addition"" or ""additions""). This value may be straightforwardly formatted as a date, but may also be formatted as prose, including identification of an individual portion of a century, or an ante/post quem."
additions,when,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/@when, "" "")",,,,,date,"The date of origin of additions to the manuscript or manuscript part, formatted as a date, as encoded within the @when attribute to an origDate element which has @type ""addition"" or ""additions""."
additions,not after,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/(@notAfter|@to|@when)[last()], "" "")",,,,,date,"The date before which additions to the manuscript or manuscript part were completed, formatted as a date, as encoded within the @notAfter attribute to an origDate element which has @type ""addition"" or ""additions""."
additions,not before,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/(@notBefore|@from|@when)[last()], "" "")",,,,,date,"The date after which additions to the manuscript or manuscript part were completed, formatted as a date, as encoded within the @notBefore attribute to an origDate element which has @type ""addition"" or ""additions""."
additions,certainty,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/@cert), "" "")",,,,,text,"The certainty of the dating in the preceding columns, as encoded within the @cert attribute to an origDate element which has @type ""addition"" or ""additions"". Possible values are high, medium, and low."
additions,calendar,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origDate[@type=""addition"" or @type=""additions""]/@calendar), "" "")",,,,,text,"The calendar used for the dating in the preceding columns, as encoded within the @calendar attribute to an origDate element which has @type ""addition"" or ""additions"". The most common value is Gregorian."
additions,place,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]/string-join(., """"), "" ""))",,,,,text,"Details of the place of origin of additions to the manuscript or manuscript part, as encoded within an origPlace element  which has @type ""addition"" or ""additions""."
additions,country,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:country/string-join(., """"), ""; ""))",,,,,text,"Details of the country of origin of additions to the manuscript or manuscript part, as encoded within a country element within an origPlace element which has @type ""addition"" or ""additions""."
additions,country ID,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:country/@key), "" "")",,,,,text,"The identifier given to the country of origin given for additions to the manuscript or manuscript part, as found in the @key attribute to the country element within an origPlace element which has @type ""addition"" or ""additions"", which corresponds to that found in the authority file."
additions,region,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:region/string-join(., """"), ""; ""))",,,,,text,"Details of the region of origin of additions to the manuscript or manuscript part, as encoded within a region element within an origPlace element which has @type ""addition"" or ""additions""."
additions,region ID,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:region/@key), "" "")",,,,,text,"The identifier given to the region of origin given for additions to the manuscript or manuscript part, as found in the @key attribute to the region element within an origPlace element which has @type ""addition"" or ""additions"", which corresponds to that found in the authority file."
additions,settlement,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:settlement/string-join(., """"), ""; ""))",,,,,text,"Details of the settlement of origin of additions to the manuscript or manuscript part, as encoded within a settlement element within an origPlace element which has @type ""addition"" or ""additions""."
additions,settlement ID,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:settlement/@key), "" "")",,,,,text,"The identifier given to the settlement of origin given for additions to the manuscript or manuscript part, as found in the @key attribute to the settlement element within an origPlace element which has @type ""addition"" or ""additions"", which corresponds to that found in the authority file."
additions,org,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:orgName/string-join(., """"), ""; ""))",,,,,text,"Details of the origin organisation of additions to the manuscript or manuscript part, as encoded within an orgName element within an origPlace element which has @type ""addition"" or ""additions""."
additions,org ID,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:origin/tei:origPlace[@type=""addition"" or @type=""additions""]//tei:orgName/@key), "" "")",,,,,text,"The identifier given to the origin organisation given for additions to the manuscript or manuscript part, as found in the @key attribute to the orgName element within an origPlace element which has @type ""addition"" or ""additions"", which corresponds to that found in the authority file."
provenance,overview,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance/string-join(., """"), ""; ""))",,,,,text,"Details of the provenance of the manuscript or manuscript part, as encoded within a provenance element within the history element."
provenance,author name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""aut"") or contains(@role, ""auth"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as an author through an appropriate @role attribute.
provenance,author ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""aut"") or contains(@role, ""auth"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as an author through an appropriate @role attribute."
provenance,scribe name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""scr"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a scribe through an appropriate @role attribute.
provenance,scribe ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""scr"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a scribe through an appropriate @role attribute."
provenance,signer name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""sgn"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a signer through an appropriate @role attribute.
provenance,signer ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""sgn"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a signer through an appropriate @role attribute."
provenance,annotator name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""ann"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as an annotator through an appropriate @role attribute.
provenance,annotator ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""ann"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as an annotator through an appropriate @role attribute."
provenance,artist name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""art"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as an artist through an appropriate @role attribute.
provenance,artist ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""art"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as an artist through an appropriate @role attribute."
provenance,patron name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""pat"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a patron through an appropriate @role attribute.
provenance,patron ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""pat"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a patron through an appropriate @role attribute."
provenance,binder name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""bnd"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a binder through an appropriate @role attribute.
provenance,binder ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""bnd"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a binder through an appropriate @role attribute."
provenance,former owner name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""fmo"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a former owner through an appropriate @role attribute.
provenance,former owner ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""fmo"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a former owner through an appropriate @role attribute."
provenance,donor name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""dnr"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a donor through an appropriate @role attribute.
provenance,donor ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""dnr"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a donor through an appropriate @role attribute."
provenance,bookseller name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""bsl"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the provenance information within a persName element and identified as a bookseller through an appropriate @role attribute.
provenance,bookseller ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//(tei:persName|tei:orgName)[contains(@role,""bsl"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the provenance information within a persName element and identified as a bookseller through an appropriate @role attribute."
provenance,named place(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:provenance//tei:placeName/string-join(., """"), ""; ""))",,,,,text,Details of any place(s) named within the provenance information within a placeName element.
provenance,place ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:provenance//tei:placeName/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any place(s) named within the provenance information within a placeName element."
acquisition,overview,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:acquisition/string-join(., """"), "" ""))",,,,,text,"Details of the acquisition of the manuscript or manuscript part, as encoded within a acquisition element within the history element."
acquisition,when,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:acquisition/@when, "" "")",,,,,date,"The date of acquisition of the manuscript or manuscript part, formatted as a date, as encoded within the @when attribute to an acquisition element within the history element."
acquisition,not after,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:acquisition/(@notAfter|@to|@when)[last()], "" "")",,,,,date,"The date before which the manuscript or manuscript part was acquired, formatted as a date, as encoded within the @notAfter attribute to an acquisition element within the history element."
acquisition,not before,"(//tei:msDesc|//tei:msPart)/string-join(tei:history/tei:acquisition/(@notBefore|@from|@when)[last()], "" "")",,,,,date,"The date after which the manuscript or manuscript part was acquired, formatted as a date, as encoded within the @notBefore attribute to an acquisition element within the history element."
acquisition,certainty,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:acquisition/@cert), "" "")",,,,,text,"The certainty of the dating in the preceding columns, as encoded within the @cert attribute to a history element. Possible values are high, medium, and low."
acquisition,calendar,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:acquisition/@calendar), "" "")",,,,,text,"The calendar used for the dating in the preceding columns, as encoded within the @calendar attribute to a history element. The most common value is Gregorian."
acquisition,former owner name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:acquisition//(tei:persName|tei:orgName)[contains(@role,""fmo"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the acquisition information within a persName element and identified as a former owner through an appropriate @role attribute.
acquisition,former owner ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:acquisition//(tei:persName|tei:orgName)[contains(@role,""fmo"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the acquisition information within a persName element and identified as a former owner through an appropriate @role attribute."
acquisition,donor name(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:history/tei:acquisition//(tei:persName|tei:orgName)[contains(@role,""dnr"")]/string-join(., """"), ""; ""))",,,,,text,Details of any person(s) named within the acquisition information within a persName element and identified as a donor through an appropriate @role attribute.
acquisition,donor ID(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:history/tei:acquisition//(tei:persName|tei:orgName)[contains(@role,""dnr"")]/@key), "" "")",,,,,text,"The identifier(s), corresponding to those found in the authority file, given for any person(s) named within the acquisition information within a persName element and identified as a donor through an appropriate @role attribute."
,,,,,,,,
Add additions origin information,,,,,,,,
