section,heading,xpath,auth_file,auth_section,auth_col,separator,format,comment
palaeography,script,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@script), "" "")",,,,,text,"Details of the script types found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description. Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
palaeography,main script,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote[not(@scope=""minor"")]/@script), "" "")",,,,,text,"Details of the main script type found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description which do not also contain @scope with value ""minor"". Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
palaeography,execution,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@execution), "" "")",,,,,text,"Details of the execution of the hand(s) in the manuscript or manuscript part contained within the @execution element to individual handNote elements within the hand description. Common values include formata, libraria, and currens."
palaeography,medium,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@medium), "" "")",,,,,text,"Details of the the tint or type of ink or other writing medium of the hand(s) in the manuscript or manuscript part contained within the @medium attribute to individual handNote elements within the hand description. Common values include ink, pencil, and colours (e.g. brown)."
music,notation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:musicNotation/string-join(.,""""), "" ""))",,,,,text,"Details of any musical notation found within the manuscript or manuscript part, as encoded within the musicNotation element in the physical description."
decoration,type(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:decoDesc/tei:decoNote/@type), "" "")",,,,,text,Details of the types of decorations which have been encoded within individual decoNote elements within the decoration description. When multiple values appear they are separated by a space.
binding,overview,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/*[not(self::tei:condition or self::tei:decoNote)]/string-join(.,""""), "" ""))",,,,,text,"Details of the binding of the manuscript or manuscript part as given in the binding element within the binding description, excluding details of the binding's condition and any decoration, which are given in columns BH and BJ respectively."
binding,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:condition/string-join(.,""""), "" ""))",,,,,text,Details of the condition of the binding of the manuscript or manuscript part as given in the condition element within the binding description.
binding,deco note(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:decoNote/string-join(.,""""), "" ""))",,,,,text,Details of any decoration to the binding of the manuscript or manuscript part as given in decoNote elements within the binding description.
binding,contemporary,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@contemporary, "" "")",,,,,boolean,"A boolean (true/false) value expressing whether or not the binding of the manuscript or manuscript part is contemporary with the manuscript or manuscript part itself, as encoded within the @contemporary attribute to the binding element within the binding description."
binding,when,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@when, "" "")",,,,,date,"The date when the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @when attribute of the binding element within the binding description."
binding,not after,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/(@notAfter|@to|@when)[last()], "" "")",,,,,date,"The date before which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notAfter attribute of the binding element within the binding description."
binding,not before,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/(@notBefore|@from|@when)[last()], "" "")",,,,,date,"The date after which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notBefore attribute of the binding element within the binding description."
binding,certainty,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:bindingDesc/tei:binding/@cert), "" "")",,,,,text,"The certainty of the dating in the preceding columns, as encoded within the @cert attribute attribute of the binding element within the binding description. Possible values are high, medium, and low."
binding,calendar,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:bindingDesc/tei:binding/@calendar), "" "")",,,,,text,"The calendar used for the dating in the preceding columns, as encoded within the @calendar attribute of the binding element within the binding description. The most common value is Gregorian."
binding,height,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" ""))",,,,,number,"The height of the binding of the manuscript or manuscript part, as encoded within the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,height max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum height of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,height min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum height of the binding of the manuscript or manuscript part, as encoded within the @min attribute of the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" ""))",,,,,number,"The width of the binding of the manuscript or manuscript part, as encoded within the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum width of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum width of the binding of the manuscript or manuscript part, as encoded within the @min attribute of the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,depth,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:depth[not(@quantity)]|tei:depth[@quantity]/@quantity), "" ""))",,,,,number,"The depth of the binding of the manuscript or manuscript part, as encoded within the depth element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,depth max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:depth/@max|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum depth of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the depth element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,depth min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:depth/@min|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum depth of the binding of the manuscript or manuscript part, as encoded within the @min attribute of the depth element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,unit,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/@unit), "" "")",,,,,text,"The unit of the binding measurements, as encoded within the unit element of a dimensions element with @type ""binding"", within either the support or layout description. Common values are mm and in."
rolls,height,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" ""))",,,,,number,"The height of the manuscript or manuscript part if it is a roll, as encoded within the height element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,height max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum height of the manuscript or manuscript part if it is a roll, as encoded within the @max attribute of the height element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,height min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum height of the manuscript or manuscript part if it is a roll, as encoded within the @min attribute of the height element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,width,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" ""))",,,,,number,"The width of the manuscript or manuscript part if it is a roll, as encoded within the width element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,width max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum width of the manuscript or manuscript part if it is a roll, as encoded within the @max attribute of the width element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,width min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum width of the manuscript or manuscript part if it is a roll, as encoded within the @min attribute of the width element within a dimensions element with @type ""roll"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
rolls,unit,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""roll""]/@unit), "" "")",,,,,text,"The unit of the roll measurements, as encoded within the unit element of a dimensions element with @type ""roll"", within either the support or layout description. Common values are mm and in."
fragments,height,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" ""))",,,,,number,"The height of the manuscript or manuscript part if it is a fragment, as encoded within the height element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,height max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum height of the manuscript or manuscript part if it is a fragment, as encoded within the @max attribute of the height element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,height min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum height of the manuscript or manuscript part if it is a fragment, as encoded within the @min attribute of the height element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,width,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" ""))",,,,,number,"The width of the manuscript or manuscript part if it is a fragment, as encoded within the width element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,width max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum width of the manuscript or manuscript part if it is a fragment, as encoded within the @max attribute of the width element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,width min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum width of the manuscript or manuscript part if it is a fragment, as encoded within the @min attribute of the width element within a dimensions element with @type ""fragment"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
fragments,unit,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)//tei:dimensions[@type=""fragment""]/@unit), "" "")",,,,,text,"The unit of the fragment measurements, as encoded within the unit element of a dimensions element with @type ""fragment"", within either the support or layout description. Common values are mm and in."
