binding URI,file URL,msID,shelfmark,collection,binding,condition,decoNote,binding contemporary,binding not after,binding not before,binding height,binding height max,binding height min,binding width,binding width max,binding width min,binding depth,binding depth max,binding depth min,binding unit
MS_Add_C_153_binding_1,manuscript_118,MS_Add_C_153,MS. Add. C. 153,Add C,Black velvet on boards.,,,,1600,,,,,,,,,,,
MS_Add_C_192_binding_1,manuscript_125,MS_Add_C_192,MS. Add. C. 192,Add C,"Blind-stamped leather over boards, 15th century.",,,,1500,1400,,,,,,,,,,
MS_Add_C_280_binding_1,manuscript_145,MS_Add_C_280,MS. Add. C. 280,Add C,"Stamped brown leather, English, 17th century.",,,,1700,1600,10.5,10.5,10.5,7.5,7.5,7.5,,,,in
MS_Add_C_29_binding_1,manuscript_149,MS_Add_C_29,MS. Add. C. 29,Add C,"Quarter leather and marbled pasteboard, 19th century (?)",,,,1900,1800,,,,,,,,,,
MS_Add_D_47_binding_1,manuscript_175,MS_Add_D_47,MS. Add. D. 47,Add D,"Light brown leather over wood boards; one of the standard Canonici styles, Italian, 18th century. Border of double blind fillet lines and floral roll decoration round the outer edge of the upper and lower covers, enclosing two rectangular frames, one inside another, formed by double blind fillet lines and floral roll decoration. The frames have floral decorations in the corners, on the sides and at the centre. The designs are identical with those on the binding of MS. Canon. Liturg. 377. Sewn on five cords; five raised bands on spine framed with gilt fillet lines. Red leather label framed by gilt border with gilt lettering: ‘PSALTERIV. || SEC. CONSV. || CARTHUSIA. || COD. MEM.’. Gilt lettering at the bottom of the spine ‘MS. || BODL. || ADD. || D. || 47’. Paper fly-leaves and pastedowns.",,,,1800,1700,,,,,,,,,,
MS_Ashmole_1282_binding_1,manuscript_224,MS_Ashmole_1282,MS. Ashmole 1282,Ashmole,"Brown leather over pasteboard, 18th century (?). Double blind fillet lines round the outer edge of covers, and approximately 30 mm from the spine. Rebacked at the Bodleian with the original spine relaid. Four raised bands on spine; the second compartment stamped in gilt with a wreath enclosing a coat of arms of Elias Ashmole (quartered, single fleur-de-lis in the upper left corner). Gilt lettering on spine ‘Ash: || 1282’. Laid paper pastedowns and fly-leaves.",,,,1800,1700,,,,,,,,,,
MS_Ashmole_1291_binding_1,manuscript_230,MS_Ashmole_1291,MS. Ashmole 1291,Ashmole,"Bound in with 17th(?)-century brown (sheepskin?) leather over pasteboards; rebacked, with shelfmark in gilt. Rust-stained holes at the fore-edge of the last several leaves were doubtless caused by the metal fitting of a clasp-fitting.A number written by ballpoint pen, perhaps ‘4. 18 33’, probably records the date of a repair (lower pastedown, bottom left corner).",,,,1700,1600,,,,,,,,,,
MS_Ashmole_1404_binding_1,manuscript_245,MS_Ashmole_1404,MS. Ashmole 1404,Ashmole,"The manuscript is now in two pieces, divided between folios 83 and 84. Both parts have their cover and half of the spine attached. This damage likely happened after 1845, as W. H. Black does not mention it in the Quarto Catalogue. The two pieces are now stored in the same box and under the same shelf-mark, but in separate protective folders.Late seventeenth-century binding typical of Elias Ashmole's collection. Brown leather over pasteboard, blind tooled fillets on boards and spine, with four raised sewing supports. Primary sewn endbands of blue and white thread over a core, now lacking the lower endband on the first part of the codex. The spine lacks Ashmole's crest (as is conventional in his bindings) due to the closeness of the bands, but the shelf mark uses the typeface and gold colour typical of an Ashmole binding. ASH 1404",,,,1900,,,,,,,,,,,
MS_Ashmole_1431_binding_1,manuscript_253,MS_Ashmole_1431,MS. Ashmole 1431,Ashmole,Brown tanned calf over laminated pulpboard. Rebacked 30 May 1959.,,,,1800,1700,,,,,,,,,,
MS_Ashmole_1511_binding_2,manuscript_290,MS_Ashmole_1511,MS. Ashmole 1511,Ashmole,Former 17th-century binding (typical binding of the Ashmole collection) kept with the manuscript.,,,,1700,1600,,,,,,,,,,
MS_Ashmole_1511_binding_1,manuscript_290,MS_Ashmole_1511,MS. Ashmole 1511,Ashmole,"Rebound in plain alum-tawed calfskin, 1987; see Linda Lee, 'The conservation of pleated illuminated vellum leaves in the Ashmole Bestiary', , 16:1 (1992), 46-49, DOI: 10.1080/03094227.1992.9638575.The Paper Conservator",,,,,,,,,,,,,,,
MS_Ashmole_1517_binding_1,manuscript_293,MS_Ashmole_1517,MS. Ashmole 1517,Ashmole,"Light brown leather over pasteboard, late 17th or early 18th century. Double blind fillet lines round the outer edge and 35 mm away from the spine on both covers. Geometric design on the edges of covers. Rebacked in the Bodleian: ‘W 5 – 12 – 59’ written in pencil on the lower pastedown. Five raised bands edged by double blind fillet lines on spine. Gilt lettering on spine: ‘Ash. 1517’. Laid paper flyleaves with watermarks, perhaps contemporary with the binding.c.",,,,1740,1660,,,,,,,,,,
MS_Ashmole_1522_binding_1,manuscript_297,MS_Ashmole_1522,MS. Ashmole 1522,Ashmole,"17th-century speckled calf over pasteboard, rebacked.",,,,1700,1600,,,,,,,,,,
MS_Ashmole_1523_binding_1,manuscript_298,MS_Ashmole_1523,MS. Ashmole 1523,Ashmole,"Light brown leather over pasteboard, late 17th or early 18th century. Double blind fillet lines round the outer edge and c. 35 mm away from the spine on both covers. Rebacked in the Bodleian with the original spine relaid. Five raised bands, edged by double blind fillet lines, and a gilt wreath with arms of Elias Ashmole on spine. Gilt lettering on spine: ‘Ash: || 1523 .’ Evidence of paper label on spine. Laid paper fly-leaves, perhaps contemporary with the binding. Fol. 259 is a former pastedown of a medieval binding with offsets of a wood board and paste deposits from six double cords.",,,,1725,1675,,,,,,,,,,
MS_Ashmole_1525_binding_1,manuscript_300,MS_Ashmole_1525,MS. Ashmole 1525,Ashmole,"Speckled light brown leather binding, 18th century. Double blind fillet line border round the outer edge of both covers; two double blind fillet lines c. 30 mm away from the spine. Rebacked in the Bodleian, inscribed ‘L. F. 15. 3. 57’ on the lower past- edown. Four raised bands edged by double blind fillet lines on spine. Gilt lettering on spine: ‘Ash. || 1525’. Fly-leaves made from 18th-century laid paper, some with watermarks. Traces of patterning in red and other (?) pigments on the edges of textblock, possibly the remains of medieval fore-edge painting.",,,,1800,1700,,,,,,,,,,
MS_Ashmole_34_binding_1,manuscript_322,MS_Ashmole_34,MS. Ashmole 34,Ashmole,Late seventeenth-century calf binding typical of Elias Ashmole's collection.,,,,1692,1617,,,,,,,,,,
MS_Ashmole_35_binding_1,manuscript_331,MS_Ashmole_35,MS. Ashmole 35,Ashmole,"Bound for Ashmole in 1676 (see ). 6 (1929–31), 194–5Bodleian Quarterly Review",,,,,,,,,,,,,,,
MS_Ashmole_39_binding_1,manuscript_338,MS_Ashmole_39,MS. Ashmole 39,Ashmole,"Post-medieval parchment over original boards with bevelled edges, which sit flush with the edge of the text block. The boards display evidence of two former clasps, likely bar clasps, of which only the catchplates with two pins remain on the left board. The outlines of the catchplates are visible through the surface of the parchment. The right board contains two matching indentations for the corresponding catchplates, now lost. The parchment pastedowns also show evidence of prior clasps, with damage that aligns with the placement of the catchplates and vestiges of rust. The outline of metal corner fittings can be seen through the parchment on both boards, and a vertical row of six metal pins can be seen on the outer edge of the right board.The spine shows four raised double sewing supports with equal spacing. The sewing supports are laced through the boards in four holes, travel through an indented channel in the inner face of the board to two holes (forming a V shape), and exit to be plugged with a dowel or wedge.The shelfmark is embossed into a separate piece of red leather that has been adhered to the centre panel of the spine - possibly taken from a previous binding. The typeface and use of colon is not consistent with the binding style of Elias Ashmole, and was possibly added by the Ashmolean Museum after his donation. The manuscript lacks end bands and the boards sit flush with the edge of the text block.ASH: 39",,,,1692,1475,,,,,,,,,,
MS_Ashmole_399_binding_1,manuscript_343,MS_Ashmole_399,MS. Ashmole 399,Ashmole,"Bound for Ashmole, with his arms on the spine, quarterly in the first quarter a fleur-de-lys.",,,,1692,1617,,,,,,,,,,
MS_Ashmole_40_binding_1,manuscript_344,MS_Ashmole_40,MS. Ashmole 40,Ashmole,"Late seventeenth-century binding typical of Elias Ashmole's collection. Leather over pasteboard, rebacked.",,,,1692,1617,,,,,,,,,,
MS_Ashmole_41_binding_1,manuscript_345,MS_Ashmole_41,MS. Ashmole 41,Ashmole,"Late seventeenth-century calf binding over pasteboards, with raised bands and gold-tooled laurel wreath on spine, typical of Elias Ashmole's collection. Restored in December 1955.A more specific binding date can be suggested from the flyleaves. The watermark on the rear flyleaf can be identified as Churchill, 'Foolscap' 348 (1935), dated to 1672 from a manuscript in Worcester Cathedral Library by Churchill. The same watermark appears in Folger Shakespeare Library, C 185, , printed for G. Bedell and T. Collins in London in 1663.Cabala, Sive, Scrinia, Sacra",,,,1692,1617,278,278,278,185,185,185,,,,mm
MS_Ashmole_43_binding_1,manuscript_348,MS_Ashmole_43,MS. Ashmole 43,Ashmole,Brown tanned calf over laminated pulpboard with blind tooled edging of double rows. Spine rebacked.,,,,1692,1650,,,,,,,,,,
MS_Ashmole_45_binding_1,manuscript_350,MS_Ashmole_45,MS. Ashmole 45,Ashmole,"Late seventeenth-century calf binding over pasteboards typical of Elias Ashmole's style, with embossed on the central spine panel. The spine is covered in a separate piece of leather from the boards, of the same colour, that extends under the board-covers. The head, tail, and panels of the spine display horizontal concentric tool framing. The spine shows four raised sewing supports covering thick cords which support all four composite parts - three of these cords are intact. The sewing stations do not follow any of the original sewing stations in the composite parts, which show evidence of between five and six stations from previous bindings. This is typical of Ashmole's binding style. However, the spine-cover has likely been replaced since the manuscript left Ashmole's collection. The typeset of the shelf mark is similar, but not identical, to Ashmole's typeset (varying in the height of letters and thickness of vertical strokes in characters and ), and Ashmole's embossed crest is missing from the second panel (see e.g. MS Ashmole 44). The board-covers also show evidence of having been lifted up at the spine-edge to allow for the spine-cover to be adhered beneath them.ASH. 45A4Due to the varying heights of the composite units, there are no endbands. The sewing supports are laced into the boards using shortened single-hole lacing without channels. The boards are cut according to the largest codicological unit, with wide squares. Both boards display concentric frame tooling which is flush with the border on three sides and inset from the spine-border by several centimeters, as is typical of Ashmole's bindings. The absence of the usual concentric frame tooling on the spine side is likely due to cropping of the leather when the new spine-cover was added. The board edges are tooled with a repeating zig-zag pattern typical of Ashmole's bindings. The inner rear board bears an inscription typical of the Bodleian's in-house bindery, with the initial and the date, partially obscured, . This is likely the work of A. G. Wintersgill, who was employed at the Bodleian for the finishing, furbishing, and repair of bindings from 1949, and whose initials can be seen on other Ashmole bindings (e.g. MS Ashmole 1431). W24 - 1 - 51/7",,,,1692,1617,,,,,,,,,,
MS_Ashmole_46_binding_1,manuscript_351,MS_Ashmole_46,MS. Ashmole 46,Ashmole,"The binding is made of gilt punched leather, using the technique whereby repetitive patterns of geometrical shapes were punched onto the parts of the design that would be left unpainted. It has been coloured with a yellow-gold glaze or tinted varnish, and is decorated with abstract floral designs and a mixture of overlapping punch patterns. On this technique, see Posthuma De Boer, Martine, E. F. Koldeweij, and Roger M. Groves, Gilt Leather Artefacts (2016).The leather covers paste boards typical of the sixteenth century, and shows remnants of two metal clasps with flower motif pins, which were once attached to leather straps. Comparable hardware can be seen in the bindings of Matthew Parker from the second half of the sixteenth century, now Corpus Christi College Cambridge SP.66, SP.57, and SP.244.The binding is recycled from a larger piece of punched leather, likely a sixteenth century panelled wall hanging or screen - although the dating of the punched pattern is much harder to determine. Similar designs are found on sixteenth century Italian wall hangings in the V&A Collection (items O304822, O304824, and O369581) which suggest a plausible place and date of origin.Although this leather was prevalent in luxury homes and churches from the sixteenth century, the practice of recycling leather wall hangings into book bindings is a rare phenomenon. A few examples can be found on printed books which were bound in the seventeenth and eighteenth centuries in Italy and Spain. The binding of MS Ashmole 46 represents one of the earliest known examples of this practice, and to date is the only known manuscript with this style of binding. It is also the only example identified thus far in England.The current binding is not the manuscript's original binding, as the text block has been trimmed and the page edges gilded at a later date after its production. This binding was likely made before 1588, as it does not match the style in which Sir Thomas Tresham, who owned the manuscript in 1588, bound his manuscripts with his family crest embossed in the centre of the front cover (see British Armorial Bindings, , stamps 1, 2, 3). Paper pastedowns, that on the left board with watermark, hand with five-pointed star (or flwoer).Tresham, Thomas (1543-1605)",,,,1700,1500,,,,,,,,,,
MS_Ashmole_59_binding_1,manuscript_356,MS_Ashmole_59,MS. Ashmole 59,Ashmole,"Late seventeenth-century calf binding over pasteboards, with raised sewing supports and gold-tooled laurel wreath design on spine, typical of Elias Ashmole's collection.",,,,1692,1617,,,,,,,,,,
MS_Ashmole_61_binding_2,manuscript_359,MS_Ashmole_61,MS. Ashmole 61,Ashmole,Previous late 17th century binding kept with the manuscript: dark brown calf with gilt fillets and simple blind-roll tooling on the outside edges; two claps with the arms of Ashmole. Repaired and rebacked in the 19th and/or 20th centuries.,,,,1700,1675,,,,,,,,,,
MS_Ashmole_61_binding_1,manuscript_359,MS_Ashmole_61,MS. Ashmole 61,Ashmole,"Rebound in off-white leather, 1986.",,,,,,,,,,,,,,,
MS_Ash_Rolls_55_binding_1,manuscript_360,MS_Ash_Rolls_55,MS. Ash. Rolls 55,Ashmole,Girdle book; no cover.,,,,1410,1400,,,,,,,,,,
MS_Ashmole_828_binding_1,manuscript_392,MS_Ashmole_828,MS. Ashmole 828,Ashmole,"Late seventeenth-century calf binding over pasteboards typical of Elias Ashmole's style. The edges of both boards are decorated with concentric tool framing. The head, tail, and panels of the spine display the same style of tooling in horizontal frames. The spine shows six raised sewing supports covering thick cords, without endbands. The sewing supports are laced into the boards using shortened single-hole lacing without channels. The board edges are tooled with a repeating zig-zag pattern, also typical of Ashmole's bindings.The binding has been rebacked since the manuscript left Ashmole's collection. The spine is covered in a separate piece of leather from the boards, of the same colour, that extends under the board-covers. The shelf mark is embossed on the third spine panel, in a typeset that is similar, but not identical, to Ashmole's typeset (varying in the height of letters and thickness of vertical strokes in characters and ). Ashmole's embossed crest is absent (see e.g. MS. Ashmole 44). The board-covers also show evidence of having been lifted up at the spine-edge to allow for the spine-cover to be adhered beneath them. The inner rear board bears an inscription typical of the Bodleian's in-house bindery, with the initials and the date . The edge of the text block has been stained red on all three sides.ASH. 828A4R. H.12-12-56",,,,1692,1617,,,,,,,,,,
MS_Aubrey_31_binding_1,manuscript_398,MS_Aubrey_31,MS. Aubrey 31,Aubrey,"Brown leather on boards, 16th-cent. English work.",,,,1600,1500,,,,,,,,,,
MS_Auct_D_1_10_binding_1,manuscript_403,MS_Auct_D_1_10,MS. Auct. D. 1. 10,Auct D,"White leather on boards, clasps lost.With string book-markers.",,,true,,,13,13,13,9.375,9.375,9.375,,,,in
MS_Auct_D_1_12_binding_1,manuscript_405,MS_Auct_D_1_12,MS. Auct. D. 1. 12,Auct D,Original boards and sewing; later white leather (about 1602?). Worn and repaired.,,,,1602,1200,13.625,13.625,13.625,9.75,9.75,9.75,,,,in
MS_Auct_D_1_13_binding_1,manuscript_406,MS_Auct_D_1_13,MS. Auct. D. 1. 13,Auct D,"Stamped white sheepskin (about 1602) over older boards, injured and re-backed. Original sewing.",,,,,,11.875,11.875,11.875,8,8,8,,,,in
MS_Auct_D_1_15_binding_1,manuscript_407,MS_Auct_D_1_15,MS. Auct. D. 1. 15,Auct D,"Red velvet with brass clasps and corner-pieces, bosses lost. 16th cent. English work.",,,,1600,1500,13.875,13.875,13.875,9.625,9.625,9.625,,,,in
MS_Auct_D_1_16_binding_1,manuscript_408,MS_Auct_D_1_16,MS. Auct. D. 1. 16,Auct D,"Brown leather with plain lines, blind tooled (English, 15th cent.), clasps lost.",,,,1500,1400,,,,,,,,,,
MS_Auct_D_1_18_binding_1,manuscript_410,MS_Auct_D_1_18,MS. Auct. D. 1. 18,Auct D,"Stamped white sheepskin (about 1602) over older sewing and boards, repaired.",,,,,,17,17,17,11.875,11.875,11.875,,,,in
MS_Auct_D_1_19_binding_1,manuscript_411,MS_Auct_D_1_19,MS. Auct. D. 1. 19,Auct D,"Poor red leather on older boards, early 16th cent. Reading work, worn.",,,,1600,1500,,,,,,,,,,
MS_Auct_D_1_20_binding_1,manuscript_413,MS_Auct_D_1_20,MS. Auct. D. 1. 20,Auct D,"Red velvet (over earlier leather) over boards, 16th century (?), with ivory triptych attached. The triptych is attributed by Jeremy Warren (unpublished correspondence, May 1996) to the workshop of , Venice, c. 1400.Baldassare degli Embriachi",,,,1600,1400,,,,,,,,,,
MS_Auct_D_1_4_binding_1,manuscript_415,MS_Auct_D_1_4,MS. Auct. D. 1. 4,Auct D,"Red leather on boards, clasps lost, worn, English 15th century work.",,,,1500,1400,13.5,13.5,13.5,9.5,9.5,9.5,,,,in
MS_Auct_D_1_5_binding_1,manuscript_416,MS_Auct_D_1_5,MS. Auct. D. 1. 5,Auct D,"White leather on boards, mid-13th century; original sewing.",,,,1260,1240,,,,,,,,,,
MS_Auct_D_1_6_binding_1,manuscript_417,MS_Auct_D_1_6,MS. Auct. D. 1. 6,Auct D,"Brown leather, blind-tooled and elaborately stamped, as in MS. e Mus. 64 (SC 3654).",,,,1610,1550,,,,,,,,,,
MS_Auct_D_1_8_binding_1,manuscript_419,MS_Auct_D_1_8,MS. Auct. D. 1. 8,Auct D,"Plain white sheepskin on boards, English 15th (?) cent. work.",,,,1500,1400,,,,,,,,,,
MS_Auct_D_1_9_binding_1,manuscript_420,MS_Auct_D_1_9,MS. Auct. D. 1. 9,Auct D,White sheepskin (about 1602) over older sewing and boards.,,,,,,13.75,13.75,13.75,9.875,9.875,9.875,,,,in
MS_Auct_D_2_1_binding_1,manuscript_421,MS_Auct_D_2_1,MS. Auct. D. 2. 1,Auct D,"Stamped leather, Oxford, about 1605.",,,,,,12.625,12.625,12.625,9,9,9,,,,in
MS_Auct_D_2_10_binding_1,manuscript_422,MS_Auct_D_2_10,MS. Auct. D. 2. 10,Auct D,"White leather on boards, clasps lost, English 15th cent. work.",,,,1500,1400,13.875,13.875,13.875,10.375,10.375,10.375,,,,in
MS_Auct_D_2_11_binding_1,manuscript_423,MS_Auct_D_2_11,MS. Auct. D. 2. 11,Auct D,"White leather on boards, clasps lost, with parchment label bearing title on side, 15th cent. English work, mended.",,,,1500,1400,13.25,13.25,13.25,9.25,9.25,9.25,,,,in
MS_Auct_D_2_12_binding_1,manuscript_424,MS_Auct_D_2_12,MS. Auct. D. 2. 12,Auct D,"Poor red leather on older boards, probably Reading early 16th cent. work.",,,,1525,1500,11.625,11.625,11.625,8.25,8.25,8.25,,,,in
MS_Auct_D_2_13_binding_1,manuscript_425,MS_Auct_D_2_13,MS. Auct. D. 2. 13,Auct D,"White leather on boards, clasp lost, English 15th cent. work.",,,,1500,1400,13.125,13.125,13.125,9.125,9.125,9.125,,,,in
MS_Auct_D_2_18_binding_1,manuscript_430,MS_Auct_D_2_18,MS. Auct. D. 2. 18,Auct D,"Black leather on boards with blind tooling, clasps lost, (?) late 15th cent. workEnglish",,,,1500,1475,13.75,13.75,13.75,9.875,9.875,9.875,,,,in
MS_Auct_D_2_2_binding_1,manuscript_432,MS_Auct_D_2_2,MS. Auct. D. 2. 2,Auct D,"Brown leather over wood boards, c. 1600 (before 1607), London. Both covers decorated with two blind rolls, one of which is identical with no. 526 in Oldham (1952). Metal fittings of two clasps (now lost). Laid paper pastedowns and fly-leaves. Rebacked in the Bodleian, with the original spine relaid (‘L. F. 31.7.57’ on the lower pastedown). Six raised bands edged with blind fillet lines on spine. Lettering on spine; ‘Hatton || 95.’. Evidence of a paper label on spine with fragments of printed letters and number ‘2’.",,,,1607,1590,,,,,,,,,,
MS_Auct_D_2_20_binding_1,manuscript_433,MS_Auct_D_2_20,MS. Auct. D. 2. 20,Auct D,"White leather on boards, early 16th century English work",,,,1600,1500,13.375,13.375,13.375,9,9,9,,,,in
MS_Auct_D_2_5_binding_1,manuscript_437,MS_Auct_D_2_5,MS. Auct. D. 2. 5,Auct D,"Parchment over pasteboard; leather ties (those on the upper cover now missing). ‘92’ written on spine in black ink overwriting earlier faded ‘92’. Also on spine: ‘150 .’ written in ink and a paper label ‘D. || 2. 5’. Pastedowns and fly-leaves of laid paper, no watermarks. Fol. 2 was probably a pastedown of an earlier binding and shows the marks of turn-ins and six horizontal channels from a previous board.",,,,,1600,,,,,,,,,,
MS_Auct_D_2_6_binding_2,manuscript_438,MS_Auct_D_2_6,MS. Auct. D. 2. 6,Auct D,"The former binding: brown leather over pasteboard, 18th century. Blind fillet lines round the outer edge of both covers. Blind roll decoration forming a rectangle with floral corner-pieces on both covers. Blind roll decoration on the edges of covers. Rebacked in the 20th (?) century with the original spine relaid. Sewn on four cords. End-leaves of 18th-century laid paper. Fol. 1 (parchment), originally the second leaf of the first booklet, was used as the upper pastedown of an earlier binding: glue and fragments of dark pink textile with yellow patterning; fragments of blue textile, possibly the remains of two ties. Four",,,,1800,1700,,,,,,,,,,
MS_Auct_D_2_6_binding_1,manuscript_438,MS_Auct_D_2_6,MS. Auct. D. 2. 6,Auct D,"Modern binding, white leather over wood boards, rebound in the Bodleian in 2010. symmetrical holes on fol. 1 and four marks on 2r left by the fitting of a clasp.",,,,,,,,,,,,,,,
MS_Auct_D_2_7_binding_1,manuscript_439,MS_Auct_D_2_7,MS. Auct. D. 2. 7,Auct D,"White sheepskin on boards, clasps lost, English, 14th century (?).",,,,1400,1300,11,11,11,8.125,8.125,8.125,,,,in
MS_Auct_D_2_8_binding_1,manuscript_440,MS_Auct_D_2_8,MS. Auct. D. 2. 8,Auct D,"Original boards and sewing under the usual plain replacement sheepskin, and vestiges of the standard cathedral chain-staples are clear at front and back.",,,,1602,1300,14,14,14,10.25,10.25,10.25,,,,in
MS_Auct_D_2_9_binding_1,manuscript_441,MS_Auct_D_2_9,MS. Auct. D. 2. 9,Auct D,Brown tanned calf over laminated pulpboard.,,,,1899,1700,,,,,,,,,,
MS_Auct_D_3_1_binding_1,manuscript_442,MS_Auct_D_3_1,MS. Auct. D. 3. 1,Auct D,"Sheepskin on boards, with leather clasp, metal fittings and parchment tags, also parchment title under talc on side, English 15th cent. work, injured.",,,,1500,1400,,,,,,,,,,
