file URL,msID,shelfmark,collection,part,part type,summary,deco description,type,locus,from,to,date,when,notAfter,notBefore,calendar,scribe name(s),scribe code(s),signer name(s),signer code(s),artist name(s),artist code(s),patron name(s),patron code(s),dedicatee name(s),dedicatee code(s),former owner name(s),former owner code(s),donor name(s),donor code(s),other person name(s),other person code(s),artist name(s),artist code(s),other org name(s),other org code(s),placeName(s),place code(s),bibl(s),ref(s),ref URI(s)
manuscript_43,,,Add A,MS_Add_A_228,,,Fleuronnée initials. ( iii. 514) Pächt and Alexander,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_44,,,Add A,MS_Add_A_23,,"ii. 929, Pächt and AlexanderPl. LXXIX, fol. 19: Lucia",Miniatures (coloured drawings),miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_46,,,Add A,MS_Add_A_26,,,Rubricated headings.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_46,,,Add A,MS_Add_A_26,,,Two-line initials in red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_47,,,Add A,MS_Add_A_263-part2,,,1- and 2-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_47,,,Add A,MS_Add_A_263-part1,,,2-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_47,,,Add A,MS_Add_A_263-part1,,,"One 4-line puzzle initial in red and blue, with red and blue penwork, accompanied by red and blue penwork border in the outer margin (fol. 1r).",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_49,,,Add A,MS_Add_A_27,,,Illuminated capital.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_51,,,Add A,MS_Add_A_280,,,One 7-line initial in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_52,,,Add A,MS_Add_A_282,,,"Good historiated border, added (?). ( ii. 912) Pächt and Alexander",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_52,,,Add A,MS_Add_A_282,,,"initial M Profile half-figure of the author. border, upper, left and lower margins Laurel leaves, floral designs; medallion with skull and bones on rocks.",histInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_54,,,Add A,MS_Add_A_286,,,"Initials in plain red, usually three lines high, some with minimal ornament.",colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_55,,,Add A,MS_Add_A_288,,,Coloured initials and headings.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_57,,,Add A,MS_Add_A_30-part1,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_57,,,Add A,MS_Add_A_30-part1,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_58,,,Add A,MS_Add_A_365-part2,,,Penwork.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_58,,,Add A,MS_Add_A_365-part1,,,Penwork.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_62,,,Add A,MS_Add_A_371,,,Good penwork initials. ( ii. 699) Pächt and Alexander,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_66,,,Add A,MS_Add_A_44,,,"Typically alternating red and blue initials, often with penwork in the contrasting colour; fols. 224r–251r, red initials with flourishing in blue, and green initials flourished in red.",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_67,,,Add A,MS_Add_A_46,,,"Fine initials. ( i. 286, pl. XXI) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_67,,,Add A,MS_Add_A_46,,,Fine miniatures.,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_71,,,Add A,MS_Add_A_61,,,Small plain red capitals withut filigree except (in ink) at §1 and §5,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_71,,,Add A,MS_Add_A_61,,,Shield drawn on 53v with a different shield on the facing recto,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_72,,,Add A,MS_Add_A_62,,,Coloured capitals.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_73,,,Add A,MS_Add_A_7-part2,,,initial A Unfinished initial with acanthus-leaf designs.,decInit,fol. 46r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_73,,,Add A,MS_Add_A_7-part3,,,Red and blue initials with contrasting penwork.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_73,,,Add A,MS_Add_A_7-part1,,,Good initial. ( ii. 164). Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_73,,,Add A,MS_Add_A_7-part1,,,"border, left and lower margin Hybrid figures and grotesques.",border,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_74,,,Add A,MS_Add_A_8,,,"Fine initials. ( ii. 471) 6-line initials on gold background, decorated with floral and geometric designs. Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_74,,,Add A,MS_Add_A_8,,,3-line red and blue initials with contrasting penwork.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_74,,,Add A,MS_Add_A_8,,,Fine border.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_74,,,Add A,MS_Add_A_8,,,"initial M Portrait of the author in monastic habit, kneeling, hands joined in prayer.",histInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_76,,,Add A,MS_Add_A_92,,,None,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_79,,,Add B,MS_Add_B_107,,,Illuminated capitals.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_80,,,Add B,MS_Add_B_110,,ii. 371:Pächt and Alexander,Good initial.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_80,,,Add B,MS_Add_B_110,,ii. 371:Pächt and Alexander,Good border (unfinished),border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_81,,,Add B,MS_Add_B_111,,ii. 426:Pächt and Alexander,Fine initial.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_81,,,Add B,MS_Add_B_111,,ii. 426:Pächt and Alexander,Fine border.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_83,,,Add B,MS_Add_B_15,,,Illuminated capitals.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_84,,,Add B,MS_Add_B_17,,Good miniatures. ( iii. 800)Pächt and Alexander,miniature Signs of Zodiac.,miniature,fol. 1v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_86,,,Add B,MS_Add_B_54,,,"Fine borders, initials. ( ii. 264, pl. XXIV) Pächt and Alexander",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_86,,,Add B,MS_Add_B_54,,,Fol. 2r: initial M: gold initial with white-stem decoration on multicoloured ground.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_86,,,Add B,MS_Add_B_54,,,"Fol. 2r: border, upper, right and lower margins: white-stem decoration on multicoloured ground. In lower margin two winged putti support the coat of arms of Bellanti of Siena.",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_86,,,Add B,MS_Add_B_54,,,"Coloured initials, gold headings.",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_87,,,Add B,MS_Add_B_55,,,Good initials. ( ii. 711) Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_88,,,Add B,MS_Add_B_59,,"Fine miniature (drawing) with framing ornament perhaps added. ( ii. 494, pl. XLVII)Pächt and Alexander","drawing Frontispiece with arms of Pasquale Malipiero, doge of Venice, framed with floral ornaments, perhaps added.",drawing,fol. iv verso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_88,,,Add B,MS_Add_B_59,,,Fine initial (faceted capital).,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_91,,,Add B,MS_Add_B_62,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_91,,,Add B,MS_Add_B_62,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_94,,,Add C,MS_Add_C_108,,,2- and 3-line initials in plain red,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_96,,,Add C,MS_Add_C_12,,"i. 652, pl. LI (Milanese illumination in French style; Italian script):Pächt and Alexander",Fine initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_96,,,Add C,MS_Add_C_12,,"i. 652, pl. LI (Milanese illumination in French style; Italian script):Pächt and Alexander",Fine borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_98,,,Add C,MS_Add_C_133-part2,,,"Good initials. Humanistic script. ( ii. 350, pl. XXXIII) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_99,,,Add C,MS_Add_C_135,,,"Historiated initials with half-figures and busts of men in hoods and hats at the beginnings of books on fols. 1r, 11r, 30r, 39r, 50r, 61v, 72r, 81v, 92r, 103v and 115r.",histInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_102,,,Add C,MS_Add_C_138,,,"Fine initials. ( ii. 412, pl. XL) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_103,,,Add C,MS_Add_C_139,,"ii. 258, pl. XXIII:Pächt and Alexander; Fine border.",full border White-stem interlace with two seated putti and two grotesques. In the lower margin two putti with halos and wings support an erased coat of arms.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_103,,,Add C,MS_Add_C_139,,"ii. 258, pl. XXIII:Pächt and Alexander; Fine initials.",initial C(icero) Gold 8-line initial with white-stem interlace.,decInit,fol. 2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_104,,,Add C,MS_Add_C_14,,"ii. 285, pl. XXVI:Pächt and Alexander; Fine initial.",initial R(omolo) Gold 8-line initial with white-stem interlace and floral designs.,decInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_104,,,Add C,MS_Add_C_14,,"ii. 285, pl. XXVI:Pächt and Alexander; Fine border.","border, upper, left and lower margins White-stem interlace, floral designs, gold disks, three birds, three butterflies and four putti. In the lower margin two putti support a laurel wreath, encircling a medallion, left blank to be filled with a coat of arms.",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_105,,,Add C,MS_Add_C_140,,,"Good initials, some with zoomorphic designs. ( ii. 7) Pächt and Alexander Initials formed by symmetrically arranged or twisted bodies of birds and beasts, or decorated with animal heads and acanthus leaves on fols. 3v, 6r, 10v, 13r and 15v (ink and red lead which darkened).",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_106,,,Add C,MS_Add_C_141,,ii. 200Pächt and Alexander,"Diagram, fol. 20, perhaps added.",diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_106,,,Add C,MS_Add_C_141,,ii. 200Pächt and Alexander,Initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_107,,,Add C,MS_Add_C_142,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_107,,,Add C,MS_Add_C_142,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_108,,,Add C,MS_Add_C_143,,"ii. 45 (border, fol. 50v, and other initials, 13th century, first half.):Pächt and Alexander","border, left and lower margin Hybrid figure (animal body and human head).",border,fol. 50v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_108,,,Add C,MS_Add_C_143,,"ii. 45 (border, fol. 50v, and other initials, 13th century, first half.):Pächt and Alexander","Human profiles, scribbled in margins, accompany glosses on fols. 31r, 32r, 48r, 65r, 78v, 96r, 97v and 50v.",drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_108,,,Add C,MS_Add_C_143,,"ii. 45 (border, fol. 50v, and other initials, 13th century, first half.):Pächt and Alexander",Initial (retouched).,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_109,,,Add C,MS_Add_C_144,,"ii. 5, pl. I:Pächt and Alexander",Initials.,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_109,,,Add C,MS_Add_C_144,,"ii. 5, pl. I:Pächt and Alexander",Good diagrams.,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_110,,,Add C,MS_Add_C_145,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_110,,,Add C,MS_Add_C_145,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_111,,,Add C,MS_Add_C_146,,"i. 271, pl. XIX:Pächt and Alexander",Good table of affinity.,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_111,,,Add C,MS_Add_C_146,,"i. 271, pl. XIX:Pächt and Alexander",Initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_112,,,Add C,MS_Add_C_147,,,"Fine initials. Fine penwork borders, initials. ( ii. 662, pl. LXIV) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_113,,,Add C,MS_Add_C_149,,ii. 271:Pächt and Alexander,Good border.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_113,,,Add C,MS_Add_C_149,,ii. 271:Pächt and Alexander,Good initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_114,,,Add C,MS_Add_C_15,,,"Unfinished initial 'B', fol. 2r",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_114,,,Add C,MS_Add_C_15,,,Plain red initials elsewhere.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_114,,,Add C,MS_Add_C_15,,,Rubrics in rustic capitals (quires 1-10) or uncial (quires 11-20).,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
