section,heading,xpath,auth_file,auth_col,separator,comment
associated people,patron ID(s),"//tei:provenance/string-join(.//tei:persName[contains(@role,""pat"")]/@key, "" "")",,,,
associated people,binder name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""bnd"")]/string-join(., """"), ""; ""))",,,,
associated people,binder ID(s),"//tei:provenance/string-join(.//tei:persName[contains(@role,""bnd"")]/@key, "" "")",,,,
associated people,former owner name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""fmo"")]/string-join(., """"), ""; ""))",,,,
associated people,former owner ID(s),"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",,,,
associated people,donor name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""dnr"")]/string-join(., """"), ""; ""))",,,,
associated people,donor ID(s),"//tei:provenance/string-join(.//tei:persName[contains(@role,""dnr"")]/@key, "" "")",,,,
associated people,bookseller name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""bsl"")]/string-join(., """"), ""; ""))",,,,
associated people,bookseller ID(s),"//tei:provenance/string-join(.//tei:persName[contains(@role,""bsl"")]/@key, "" "")",,,,
associated people,other person name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[not(@role)]/string-join(., """"), ""; ""))",,,,
associated people,other person ID(s),"//tei:provenance/string-join(.//tei:persName[not(@role)]/@key, "" "")",,,,
former owner details (person),persName,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,name (display),semi-colon,
former owner details (person),birth when,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,birth when,space,
former owner details (person),birth notAfter,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,birth notAfter,space,
former owner details (person),birth notBefore,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,birth notBefore,space,
former owner details (person),death when,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,death when,space,
former owner details (person),death notAfter,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,death notAfter,space,
former owner details (person),death notBefore,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,death notBefore,space,
former owner details (person),floruit when,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,floruit when,space,
former owner details (person),floruit from,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,floruit from,space,
former owner details (person),floruit to,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,floruit to,space,
former owner details (person),floruit notAfter,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,floruit notAfter,space,
former owner details (person),floruit notBefore,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,floruit notBefore,space,
former owner details (person),occupation,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,occupation,semi-colon,
former owner details (person),sex,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,sex,space,
former owner details (person),nationality,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,nationality,semi-colon,
former owner details (person),langKnowledge,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,langKnowledge,space,
former owner details (person),residence,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,residence,semi-colon,
former owner details (person),affiliation,"//tei:provenance/string-join(.//tei:persName[contains(@role,""fmo"")]/@key, "" "")",persons,affiliation,semi-colon,
associated organisations,former owner name(s),"//tei:provenance/normalize-space(string-join(.//tei:orgName[contains(@role,""fmo"")]/string-join(., """"), ""; ""))",,,,
associated organisations,former owner ID(s),"//tei:provenance/string-join(.//tei:orgName[contains(@role,""fmo"")]/@key, "" "")",,,,
associated organisations,patron name(s),"//tei:provenance/normalize-space(string-join(.//tei:orgName[contains(@role,""pat"")]/string-join(., """"), ""; ""))",,,,
associated organisations,patron ID(s),"//tei:provenance/string-join(.//tei:orgName[contains(@role,""pat"")]/@key, "" "")",,,,
associated organisations,donor name(s),"//tei:provenance/normalize-space(string-join(.//tei:orgName[contains(@role,""dnr"")]/string-join(., """"), ""; ""))",,,,
associated organisations,donor ID(s),"//tei:provenance/string-join(.//tei:orgName[contains(@role,""dnr"")]/@key, "" "")",,,,
associated organisations,other org name(s),"//tei:provenance/normalize-space(string-join(.//tei:orgName[not(@role)]/string-join(., """"), ""; ""))",,,,
associated organisations,other org ID(s),"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",,,,
former owner details (organisation),orgName,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,name (display),semi-colon,
former owner details (organisation),affiliation,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,affiliation,semi-colon,
former owner details (organisation),geo,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,geo,semi-colon,
former owner details (organisation),geo lat,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,geo lat,semi-colon,
former owner details (organisation),geo long,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,geo long,semi-colon,
former owner details (organisation),country,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,country,semi-colon,
former owner details (organisation),settlement,"//tei:provenance/string-join(.//tei:orgName[contains(@role, ""fmo"")]/@key, "" "")",orgs,settlement,semi-colon,
associated places,named place(s),"//tei:provenance/normalize-space(string-join(.//tei:placeName/string-join(., """"), ""; ""))",,,,
associated places,place ID(s),"//tei:provenance/string-join(.//tei:placeName/@key, "" "")",,,,
associated places,placeName,"//tei:provenance/string-join(.//tei:placeName/@key, "" "")",places,name (index),semi-colon,
associated places,geo,"//tei:provenance/string-join(.//tei:placeName/@key, "" "")",places,geo,semi-colon,
associated places,country,"//tei:provenance/string-join(.//tei:placeName/@key, "" "")",places,country,semi-colon,
associated places,region,"//tei:provenance/string-join(.//tei:placeName/@key, "" "")",places,region,semi-colon,
