metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29",manuscript-composite,,MS-EE-00002-00029,Folio 2v contains a poem with biblical references added by a late 15th- or early 16th-century hand: Est puer vnus hic Joh vj.to et math viijo / Sunt pueri puri parui paruo satiati / Ludunt conformant cito dant cito pacificantur,2v,2v,2v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.76",manuscript-composite,,MS-DD-00005-00076,"Collation formula recording the structure of the leaves 'before re-binding in 1956', written by the hand of H.L. Pink, c. 1958 (inscribed on the inside of the lower cover).",inside of the lower cover,"rear cover, inner","rear cover, inner",,,,,,,,,H.L. Pink,person_v29141885,,,,
_addition_1,manuscript_1,,,,manuscript-composite,,MS-II-00006-00033,"Note concerning the rebinding of the manuscript in 1974 added to the rear pastedown by .Arthur OwenOwen, A. E. B. (Arthur Ernest Bion)",,,,,,,,,,,,"Arthur Owen; Owen, A. E. B. (Arthur Ernest Bion)",,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-ADD-03021,"Later hands of the 14th century, 15th century and early 16th century have copied the text of charters at the end of several sections of the cartulary, or inserted other additions to the text, as follows: Kingsthorp (ff. 218r-218v).Raunds, Twywell (ff. 229v-230v).Wing (ff. 237r).Sawbridge, Willoughby, Woolscott (ff. 241v-243v).Tydd St Mary (f. 258v).Stamford (ff. 261r-263r).Appeal and relief from tolls and charges relating to the mill at West Deeping (f. 263r) (in Middle English).A substantial continuation containing material from the late 12th to the early 14th century, relating to East Deeping, Maxey, Lolham, Nunton, Northborough and Stamford (ff. 263v-290v) (including two in Middle French (ff. 265r-265v)).Fleet, Holbeach, Whaplode (ff. 291r-293r).Wilden (f. 298v).Bolnhurst, Yaxley, Stanground, Keysoe, South Brook (ff. 330v-339r).Husborne Crawley (ff. 340r-341r).Enfield, Edmonton, Tottenham (ff. 367r-369v).Eye, Peterborough, Grafham, Chesterton, Twywell, Whittlesey (ff. 382v-384r).Agreement of obligations between the abbeys of Peterborough, Ramsey, Crowland and Thorney (ff. 384v-385v).Eccleasiastical records added in a later hand on a single gathering and single leaf between Parts Eight and Nine. Records involve Deeping, Tydd, ‘Absedene’ (Lincs.?), Yelden, Wilden, Bolnhurst, Thurleigh (Beds.), Hempnall (Norf.), Kingsthorpe, Islip, Grafham, Twywell, Charwelton (Northants.), Whittlesey, Yaxley, Stanground, Woodston, Water Newton, Haddon, Huntingdon, Stibbington, Chesterton, Sibson (Hunts.) (ff. 391r-401r).Documents incorporated into 'De gestis abbatum', with a continuation, added by later hands (see Contents for further details). The main supplementer of the 14th century recorded nothing after 1341 (see: Raban, 'The property of Thorney and Crowland Abbeys', p. 6).",218r-218v; 229v-230v; 237r; 241v-243v; 258v; 261r-263r; 263r; 263v-290v; 265r-265v; 291r-293r; 298v; 330v-339r; 340r-341r; 367r-369v; 382v-384r; 384v-385v; 391r-401r,218r 229v 237r 241v 258v 261r 263r 263v 265r 291r 298v 330v 340r 367r 382v 384v 391r,218v 230v 237r 243v 258v 263r 263r 290v 265v 293r 298v 339r 341r 369v 384r 385v 401r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript-composite,,MS-LL-00001-00010,"Sections of the manuscript marked 'A' to 'F', in pencil, in the centre of the top margin, by a 19th-/20th-century hand. See Foliation for further discussion.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-ADD-03020,"Later hands of the 14th century, 15th century and early 16th century have copied the text of charters at the end of several sections of the cartulary, as follows: Royal charters (ff. 33v-40r).Huntingdon (f. 42r).Norman Cross (f. 63r).Yaxley (ff. 63r-74v).Stanground, Northey (ff. 108v-110v).Bolnhurst (Beds.), 'Walscheslade', 'Hacchefeld' (?Hatchfield), Stanground, Whittlesey, Northey, King's Delph, Farcet Fen (f. 110v-113v).Woodston, Cat's Water (ff. 128v-129r).Haddon (f. 130r).Water Newton (f. 159v).Gift of money (ff. 160r-160v).Stibbington, Sibson, Water Newton (ff. 160v-161v).Royal charter, granting lands in Stanground, Farcet, Whittlesey, Woodston (ff. 161v-162r).Stanground, Farcet, Whittlesey (ff. 162r-163r).Land (named 'Latreshale') near Eastrea/Whittlesey (ff. 181r-181v).Whittlesey, Throckenholt (f. 181v).Warden Abbey (Beds.) (f. 197r).Grants of an annual shipload of wood from woodlands known as 'Oldegore' (f. 197r).Northey, Whittlesey, King's Delph, Farcet Fen (ff. 197v-204r). The main supplementer of the 14th century recorded nothing after 1341 (see: Raban, 'The property of Thorney and Crowland Abbeys', p. 6).",33v-40r; 42r; 63r; 63r-74v; 108v-110v; 110v-113v; 128v-129r; 130r; 159v; 160r-160v; 160v-161v; 161v-162r; 162r-163r; 181r-181v; 181v; 197r; 197r; 197v-204r,33v 42r 63r 69v 108v 110v 128v 130r 159v 160r 160v 161v 162r 181r 181v 197r 197r 197v,40r 42r 63r 74v 110v 113v 129r 130r 159v 160v 161v 162r 163r 181v 181v 197r 197r 024r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,part,,,"On f. i verso, one of Parker's scribes has written a list of the contents of MS Ff.1.25. The final item, 'Expositio in prophetiam Merlini', has added by a different, presumably later hand.",i verso,i verso,i verso,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9309",manuscript,,MS-ADD-09309,"A note on the manuscipt in brown ink written in a 17th-century hand on the inside upper cover: '33 Leaves [...]', possibly followed by a date 'September 1670 [or 1870]' and the initials 'A.J.W'.",inside upper cover,"front cover, inner","front cover, inner",,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9308",manuscript-composite,,MS-ADD-09308,"Modern quire signatures - †, a-m - have been added in pencil to the lower right-hand corner of the recto of the first leaf of each quire, by , as part of the cataloguing of the manuscript, c. J.S. Ringrose Ringrose, J.S. (Jayne S.)2019.",,,,,,,,,,,,"J.S. Ringrose; Ringrose, J.S. (Jayne S.)",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ee.3.59",manuscript,,MS-EE-00003-00059,List of the liberal arts added to the lower margin of f. 19v by a late 13th-/early 14th-century hand.,19v,19v,19v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5",manuscript,,MS-FF-00005-00005,"Modern quire numbers in pencil on the first rectos of quires throughout, written by a mid-20th-century hand.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 7912",manuscript,,MS-ADD-07912,,,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Kk.5.13",manuscript,,MS-KK-00005-00013,"Marginal headings and content-markers, some in the vernacular (f. 29v), and many concerning the cultivation of herbs, vegetables and fruit, and a few running titles across the upper margins, all added by scribes of the second half of the 9th century and turn of the 9th/10th century. One of these hands also added notes on sowing to the originally blank f. 121v.",29v; 121v,29v 121v,29v 121v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.6",manuscript,,MS-GG-00004-00006,A marginal annotation in plummet by a medieval hand on f. 25r.,25r,25r,25r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-LL-00005-00018,"Marginalia: There is a single example of marginalia in MS Ll.5.18 on f. 36r, where the phrase ‘moyses famulus domini’ appears in the top right-hand corner. This corresponds to the beginning of Joshua 22.2 and is also the name of a popular chant inspired by the Biblical passage that was frequently allocated to the Feast of Dom. 4 Quadragesimae. There appears to be no connection between this notation and the Lydgate stanzas to which it is adjacent and, thus, is likely an example of pen practice.",f. 36r,36r,36r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,part,,,"The Table of Contents on page i is a Parkerian addition of the sixteenth century. Parker is also responsible for the pagination in red crayon at the top right of each leaf. In the top left-hand corner of each page, a later hand has added a description of that page's contents. Further post-medieval additions to the manuscript page are rare, but there is evidence of a post-medieval pastedown on page 236, since removed and inserted as an addendum strip to the inside of the volume. A note indicating Archbishop Matthew Parker as a previous owner of the manuscript, 'Matthaus Cantuar. 1574' occurs on page 1r.",i; 236; 1r,1:i(v) 236 1,1:i(v) 236 1,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.12.23",manuscript,,MS-DD-00012-00023,"Calculations written by a post-medieval hand on blank spaces (ff. 49r, 51r).",49r; 51r,49r 51r,49r 51r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Mm.6.17",manuscript-composite,,MS-MM-00006-00017,Addition of a Sufrage to St Egwin of Evesham added to f. 143r (see Part 2 for further details).,143r,143r,143r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-FF-00001-00017-00001,Flyleaf iiir contains a concordance of the foliation and bibliographical entries in two modern hands.,iiir,iiir,iiir,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",manuscript-composite,,MS-II-00004-00006,"'Index sermonum' added to f. 8r in the 16th-century. Further hands have annotated this, including that of Abraham Wheelock (see below) and another that may be , who added interlinear notes comparing the manuscript's contents to that of Cambridge, University Library, MS Gg.3.28 (for an example of Kemble's hand, see John Mitchell KembleKemble, John M. (John Mitchell), 1807-1857.Cambridge, University Library, MS Gg.5.35",8r,8r,8r,,,,,,,,,"John Mitchell Kemble; Kemble, John M. (John Mitchell), 1807-1857",,"Cambridge, University Library, MS Gg.5.35",,"Cambridge, University Library, MS Gg.5.35",https://cudl.lib.cam.ac.uk/view/MS-GG-00005-00035/1
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 2994",part,,,Minor scribbles and pen trials on f. 212r.,212r,212r,212r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,MS Gg.6.42,manuscript-composite,,MS-GG-00006-00042,"Annotated by one or two Gothic textura hands, 13th century: ff. 9r, 28r, 13v–14r, 34v, 166r, 214v, 224r, 225r, 235r, 237v. The addition on f. 166r is later framed by the original decorator (cf. the integrated additions on ff. 172r and 183r). The annotation on f. 235r is corrected by the plummet annotator, implying that this is either a canon of CirencesterCirencester, Augustinian abbey of St Mary the Virgin or a monk of MalmesburyMalmesbury, Benedictine abbey of St Peter and St Paul.",9r; 28r; 13v–14r; 34v; 166r; 214v; 224r; 225r; 235r; 237v; 166r; 172r; 183r; 235r,9r 28r 13v 34v 166r 214v 224r 225r 235r 237v 166r 172r 183r 235r,9r 28r 14r 34v 166r 214v 224r 225r 235r 237v 166r 172r 183r 235r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-II-00002-00004,"Ker notes some faintly pencilled Latin glosses, e.g. on f. (Ker 1957:28). See the top of the page. See also, for example, fol. 30, which appear to be of s. xiii92r, line 23. Latin translations of Alfred's prefatory letter and the metrical preface are copied on fols 3v-4v in a 16th-century hand. A hand of similar date has added an interlinear modern English gloss to those two texts on fols 5r-7r Graham suggests that this gloss probably served as a model for the gloss accompanying the edition of the prose and metrical prefaces included in Matthew Parker's 1574 edition of Asser's life of King Alfred, Ælfredi regis res gestae (Graham 1995:633-34).Graham notes the name 'Johannes Parker' in red crayon in the top right-hand corner of fol. 5r, probably in Matthew Parker's hand (Graham 1995:636-37). He suggests that the archbishop wrote the names of his two sons in several of his volumes, probably indicating which of them should inherit it. One of his other copies of the Pastoral Care (Trinity R.5.22) is inscribed 'Matthaeus Parker'.Other 16th-century additions include the underlining of two lines in red crayon on fol. 146v and the addition of the word finis at the foot of the same page.The text on the 16th-century flyleaf, fol. 150v, and readable from the offset on fol. 151r, is a document in Latin from Richard Lyell, Doctor of Law and vicar-general to Thomas Thirlby, Bishop of Westminster concerning a matrimonial case. The document contains a date in 1543, probably the year in which it was issued. For more details see Graham 1995:632. An inscription in an early modern hand on the front pastedown notes in the upper margin of the Abraham Wheelocke (1593-1653) Wheelocke, Abraham, 1593-1653 front pastedown that he began to read the text on 3 September 1638 and finished it on 17 July 1639. There are additional notes in his hand on fol. 150r, formerly the back pastedown.References to chapter numbers in the Latin text are added throughout in an early modern hand. Shelfmarks are added on the front pastedown (253, D.β.3 and Ii-2-4) and on fol. 150r (4:2.3).Interlinear Latin glosses in pencil are added intermittently throughout in a hand (or hands) that are probably modern. In addition to adding foliation and signatures to the MS, Henry Bradshaw added notifications of missing leaves on the front pastedown and fol. 146v, and a summary of the collation on the back pastedown in the 19th century.In the course of repairs to the manuscript in 1967, two modern parchment leaves were added, fols 2bis and 151bis.",92r; 30; 3v-4v; 5r-7r; 5r; 146v; 150v; 151r; front pastedown; 150r; front pastedown; 150r; front pastedown; 146v; back pastedown; 2bis; 151bis,92r 30r 3v 5r 5r 146v 150v 151r 1v 150r 1v 150r 1v 146v 152r 2bis_R 151bis_R,92r 30r 4v 7r 5r 146v 150v 151r 1v 150r 1v 150r 1v 146v 152r 2bis_V 151bis_V,,,,,,,,,"Abraham Wheelocke (1593-1653); Wheelocke, Abraham, 1593-1653",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.5",manuscript,,MS-DD-00005-00005,"Collation formula and date of rebinding written on the rear pastedown by .Arthur Owen Owen, A. E. B. (Arthur Ernest Bion)",rear pastedown,"rear cover, inner","rear cover, inner",,,,,,,,,"Arthur Owen; Owen, A. E. B. (Arthur Ernest Bion)",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 5368",manuscript,,MS-ADD-05368,Quire signatures in the lower outer corner of the first recto of each quire in pencil designated a-z. A small '+' added in pencil to the lower outer corner of the first recto in the second half of each quire.,,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.51",manuscript-composite,,MS-FF-00006-00051,"Table of contents for the manuscript as a whole (f. 1v), written in Latin in a 17th-century hand, listing only Bernard of Clairvaux, Liber de gratia et libero arbitrio; Honorius of Autun, Imago Mundi; and the anonymous theological treatise identified by its first section: De sapientia dei; perhaps added when it was acquired by Cambridge University Library as part of the library of Richard Holdsworth (1590-1649), Master of Emmanuel College: the table of contents matches exactly with the manuscript's description in in the inventory of Holdsworth's manuscripts compiled by William Crowe (Cambridge, University Library, MS Dd.8.45, f. 153v [p. 301]).",1v,1v,1v,,,,,,,,,"Richard Holdsworth (1590-1649), Master of Emmanuel College; William Crowe",,"Cambridge, University Library, MS Dd.8.45",,,
_addition_1,manuscript_1,,,,manuscript,,MS-KK-00005-00016,"Many marginal notes by the text scribe, the most extensive of which are merely short phrases.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.53",manuscript,,MS-FF-00006-00053,A table of contents in a 17th-century hand on f. ii recto.,ii recto,ii recto,ii recto,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ff.1.23",manuscript,,MS-FF-00001-00023,"Sixteen Old English glosses added in black ink later in the 11th century (see ff. 27v, 29r, 204v, 227r, 237r, 243v, 244r).",27v; 29r; 204v; 227r; 237r; 243v; 244r,27v 29r 204v 227r 237r 243v 244r,27v 29r 204v 227r 237r 243v 244r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ii.2.12",manuscript,,MS-II-00002-00012,"Folio [iii] recto: 'Two leaves here missing. Nov. 1847, J.P.': i.e. , University Librarian 1828-64.Joseph Power (1798-1868) Power, Joseph, 1798-1868",[iii] recto,[iii] recto,[iii] recto,,,,,,,,,"Joseph Power (1798-1868); Power, Joseph, 1798-1868",,,,,
_addition_1,manuscript_1,,,,manuscript,,,"Two liturgical forms have been added by a 9th-century hand, with some musical notation: For the origin of these, see Origin. At the foot of f. 74r is Virgo prudentissime quo pregrederis (cf. Van Dijk, SMRL II, 156, where it is given as the antiphon for vespers at the Vigil of the Assumption.At the foot of f. 115r is Veniens vir splendidissimus a Constantino (sic) regem nocte excitavit eum dicens Aspice in celum et vide signum crucis domini... (associated with the Invention of the Holy Cross; cf. Peter Damian, Liber qui dicitur Gratissimus ad Henricum archiepiscopum Ravennatem, PL 145:124C).",74r; 115r,74r 115r,74r 115r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-II-00001-00033,"Marginal insertions and corrections in Latin and English by the text scribe (Ker's Hand 1) on ff. 25r, 31r, 36r, 70v, 77v, 82r, 82v, 95v, 120r, 120v-122v, 123r, 124v, 211r-213v, 219r, 224v and 225r. Notes in French in the bottom margins of ff. 70v and 120r (see Traxel (2004)). These annotations are listed (and in many cases have been transcribed) by Da Rold (2010).",25r; 31r; 36r; 70v; 77v; 82r; 82v; 95v; 120r; 120v-122v; 123r; 124v; 211r-213v; 219r; 224v; 225r; 70v; 120r,25r 31r 36r 70v 77v 82r 82v 95v 120r 120v 123r 124v 211r 219r 224v 225r 70v 120r,25r 31r 36r 70v 77v 82r 82v 95v 120r 122v 123r 124v 213v 219r 224v 225r 70v 120r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.43",manuscript-composite,,MS-II-00006-00043,Notes in a 17th-century hand on f. 159v and f. 160v may pertain to cancelled leaves in the manuscript: sed [...] 64 may refer to the cancelled leaf before f. 64.,159v; 160v,159v 160v,159v 160v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 3120",part,,,"The number 192 is written in an (?) 18th-century script in the lower margin of f. 3r, possibly representing a pressmark or lot number.",3r,3r,3r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4087",manuscript,,MS-ADD-04087,"A printed description of the manuscript (probably taken from a sale catalogue) pasted on f. [a] recto, with later annotations concerning the manuscript in pencil written next to it.",[a] recto,[a] recto,[a] recto,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-HH-00001-00010,"Marginalia Marginalia throughout in the hand of Robert Talbot (d. 1558), showing a special interest in place-names. His note on fol. 93v, Vide librum de legibus anglorum et danorum refers probably to CCCC MS 383, which he possessed or at least used. Other marginalia are by . See, for example, the marginalia on fol. John Joscelyn (1529-1603) Joscelyn, John, 1529-1603 11r where the larger hand is Talbot and the smaller one Joscelyn. On fol. 41v there is a marginal annotation by Matthew Parker.",93v; 11r; 41v,93v 11r 41v,93v 11r 41v,,,,,,,,,"John Joscelyn (1529-1603); Joscelyn, John, 1529-1603",,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-GG-00004-00018,"'Omnium est enim artifex omnem habeus uirtutem omnia prospiciens': added in a formal script by a 15th-century hand to the lower margin of f. 79v. A quotation from the Bible (Sap 7:21 and 7:23), also used as an introit verse for Spiritus domini (see Innocent Smith, 'Pentecost and the Votive Mass of the Holy Spirit in early Dominican Mass books', in Bible missals and the medieval Dominican liturgy, Manuscripta Biblica 12 (Berlin: de Gruyter, 2023), p. 106).",79v,79v,79v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-ADD-10185-00001,"A few interlinear or marginal additions to the first, fourth, fifth and sixth membranes and the final half-membrane.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.29",manuscript,,MS-DD-00006-00029,"Collation formula by the hand of , H.L. PinkPink, H. L.c. 1958 (inside right cover).",inside right cover,"right cover, inner","right cover, inner",,,,,,,,,"H.L. Pink; Pink, H. L.",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4085",manuscript,,MS-ADD-04085,"Insertion in the margin of text omitted by the scribe, written by a 14th-/15th-century hand (ff. 33v, 34r).",33v; 34r,33v 34r,33v 34r,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-000GG-00004-00031,"Running annotations and marginalia add corrections and commentary, many in the hand of the main scribe, but also in two other hands. The second, probably contemporary, hand signs himself WH, see folio 69v or 72v. It is supposed that WH added these notes at the time the manuscript was being rubricated and bound, suggesting he may have been a previous owner.",69v; 72v,69v 72v,69v 72v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ee.5.22",manuscript,,MS-EE-00005-00022,Quires numbered in pencil in Hindu-Arabic numerals in the lower outer corner of the first recto of each quire; the designation for Quire 18 has been omitted from this schema.,,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.27(1)",part,,,"Rubrics added in a variety of coloured inks by a late 16th-/early 17th-century hand, commissioned by the manuscript's then owner, the antiquary Joseph Holland (d. 1605). See: ff. 5r, 194v, 275v, 284v, 297v, 312v, 317v, 362v, 371v, 398v, 443v, 453v, 456v, 462v, 466v, 474r, 476v, 478v. This scribe's work is evident in other manuscripts owned by Holland: see, for example, , f. 18r and London, British Library, Cotton MS Vespasian E V, throughout. London, British Library, Harley MS 7026 These rubrics relate to the text that Holland instructed to be copied onto the replacement leaves he had added to the volume, along with other matter relating to Chaucer or the text, some of which was taken from an edition of Chaucer's works published in 1598 by Thomas Speght. These leaves were originally bound in at the relevant places in the manuscript. For the subsequent rearrangement of the manuscript and the placement of these leaves, see Custodial History. These leaves are described below in Part 2, with digital images following those of the main volume, here described as Part 1. For further discussion of the material added by Joseph Holland, see Parkes and Beadle (1979-80), vol. 3, pp. 65-66.",5r; 194v; 275v; 284v; 297v; 312v; 317v; 362v; 371v; 398v; 443v; 453v; 456v; 462v; 466v; 474r; 476v; 478v,5r 194v 275v 284v 297v 312v 317v 362v 371v 398v 443v 453v 456v 462v 466v 474r 476v 478v,5r 194v 275v 284v 297v 312v 317v 362v 371v 398v 443v 453v 456v 462v 466v 474r 476v 478v,,,,,,,,,,,"London, British Library, Cotton MS Vespasian E V; London, British Library, Harley MS 7026",,"London, British Library, Cotton MS Vespasian E V; London, British Library, Harley MS 7026",
_addition_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00028,"'Parkerian' annotations, bracketing, underlining, and manicules in red-orange crayon (ff. 81r, 134r-136v, 143v, 146v, 169r, 170v-171v, 183r, 200v, 201v, 203r), by , archbishop of Canterbury, or one of his circle.Parker, Matthew, 1504-1575 Matthew Parker (1504-1575)",81r; 134r-136v; 143v; 146v; 169r; 170v-171v; 183r; 200v; 201v; 203r,81r 134r 143v 146v 169r 170v 183r 200v 201v 203r,81r 136v 143v 146v 169r 171v 183r 200v 201v 203r,,,,,,,,,"Parker, Matthew, 1504-1575; Matthew Parker (1504-1575)",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Add. 6865",manuscript-composite,,MS-ADD-06865,"Table of contents (f. ii recto) and running titles (upper margin of each leaf, recto and verso), in a light brown ink, by the hand of .James Cobbes (b. ?1602, d. 1685) Cobb(e)s, James (b. ?1602 d. 1685)",ii recto,ii recto,ii recto,,,,,,,,,"James Cobbes (b. ?1602, d. 1685); Cobb(e)s, James (b. ?1602 d. 1685)",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.8.19",manuscript-composite,,MS-DD-00008-00019,"Modern pencil quire signatures on the lower outer corners of first rectos ('1'-'17') with pencil crosses on the rectos of the inner bifolio of quires, added in the 19th century.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript-composite,,MS-KK-00003-00018,"Notes in ink (f. i verso) and towards an alphabetical index (ff. 1r-2v and 100r-102r, but beginning on blank space on f. 99v), and marginal annotations in pencil (ff. 4r-6r and elsewhere) by the hand of , University Librarian 1629-53. Many of these relate to his collation of the manuscript against the 1601 Cologne edition of the Latin Wheelocke, Abraham, 1593-1653 Abraham Wheelocke (1593-1653) Historia ecclesiastica, as noted at the top of f. i verso. Wheelock used MS Kk.3.18 as the base text for his 1643 edition.",i verso; 1r-2v; 100r-102r; 4r-6r; i verso,i verso 1r 100r 4r i verso,i verso 2v 102r 6r i verso,,,,,,,,,"Wheelocke, Abraham, 1593-1653; Abraham Wheelocke (1593-1653)",,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Dd.10.44",manuscript-composite,,MS-DD-00010-00044,Modern quire numbers in pencil added to the lower right-hand corners of the first rectos of quires.,,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-EE-00004-00024,"Numerous marginal additions and sketches have been added to the manuscript by later, non-medieval hands. Scribbles and partially legible note, doodled shaps and sketch of a human head (ff. 2r-2v). Attempt to imitate the style of medieval letters in the margin (f. 34r).",2r-2v; 34r,2r 34r,2v 34r,,,,,,,,,,,,,,
