metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29","Late 18th-century or 19th-century brown half leather binding with marbled paper sides; the spine with 5 raised bands and Red Russia leather with the gold-stamped inscription: Tracts M.S..; Parchment pastedowns on the inside covers with printed and handwritten text underneath. On the recto of the parchment pastedown on the front cover is an untranscribed 15th- or 16th century text, which is visible in reverse on the verso. Below the parchment pastedowns on both the front and rear covers are printed leaves with a form of Registers of Freeholders from the 28th year of the Reign of King George III (see Danby Pickering, , pp. 406-407).The Statutes at Large From the Magna Charta, to the End of the Eleventh Parliament of Great Britain, Anno 1761 [continued to 1807] (Cambridge: Bentham, 1787); Binding height: 350mm; width: 220mm; depth: 55mm.",,,,,1787,1900,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.76","Quarter binding of brown leather with marbled paper sides, bound by Gray of Cambridge as indicated by a stamp on the inside of the upper cover.; Binding height: 215mm width: 150mm depth: 30mm",,,,,1956,1956,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Quarter-bound binding in modern leather with marbled paper, vellum tips, by , 1974.Douglas Cockerell and SonDouglas Cockerell and Son (Firm)",,,,1974,1974,1974,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Bound in brown calfskin over pasteboards with blind stamped and rolled decoration, by , 1862. WisemanWiseman",,,,1862,1862,1862,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Alum-tawed goatskin dyed red with Brazil wood over oak boards sewn on four supports. Conserved and rebound at Cambridge University Library by in 2014.Shaun ThompsonThompson, Shaun",,,,2014,2014,2014,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"The manuscript has undergone several successive rebindings, encompassing the 9th-century core alone as well as with the later additions, and traces of their structure may be seen in the sewing patterns left on the leaves. For a diagrammatic illustration of these, see Brown (1996), p. 234.",,,,,800,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Alum-tawed goatskin dyed red with Brazil wood over oak boards sewn on four supports. Conserved and rebound at Cambridge University Library by in 2014.Shaun ThompsonThompson, Shaun",,,,2014,2014,2014,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Bound in brown calfskin over pasteboards with blind stamped and rolled decoration, by , 1862. WisemanWiseman",,,,1862,1862,1862,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Bound in brown calfskin over pasteboards with blind stamped and rolled decoration, by , 1862. WisemanWiseman",,,,1862,1862,1862,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9309","Rough binding of vellum pieces stitched together, including a flap secured with vellum ties; spine formed of a rigid strip of leather. Probably the original binding.",,,,,1475,1525,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9308","17th- or 18th-century pasteboards, covered in brown leather. Blind-tooled panel in double fillet on both. At the time of writing (September 2023), the front and rear board are both detached, with remains of the spine attached to the rear board. The manuscript will be rebound as part of the Curious Cures in Cambridge Libraries project.",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ee.3.59","Full green morocco, by , Grantchester, 1967: note by Douglas Cockerell and Son Douglas Cockerell and Son (Firm) on H.L. PinkPink, H. L.front pastedown.",,,,1967,1967,1967,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Full alum-tawed goatskin, Cambridge University Library, 1997. See Custodial History for further information.",,,,1998,1998,1998,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5","Quarter brown goatskin with marbled paper sides and vellum corner tips; the spine with four raised bands and two rectangles of black leather gold-stamped with the inscriptions: Registrum Brevium and Ff.5.5; The binding was made by Douglas Cockerell and Son, Grantchester, 1966 (see inscription on the inside of the front cover).; Binding height: 235mm; width: 170mm; depth: 50 mm.",,,,,1966,1966,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 7912","Quarter leather binding of brown leather with marbled paper sides, bound by D. Cockerell and Son in 1972 (as noted on f. [i] recto).; Binding height: 220mm; width: 150mm; depth: 70mm.",,,,,1972,1972,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Kk.5.13","Marbled paper sides, spine covered with brown Morocco, title and classmark tooled in gold on the spine.; Note on rear pastedown by the hand of , 'rebound, Cockerell, 1972', most likely by A.E.B. OwenOwen, A. E. B. (Arthur Ernest Bion) (for a similar example, see Sydney Morris ('Sandy') CockerellCockerell, Sydney Morris).Cambridge, University Library MS Dd.12.23",,,,1972,1972,1972,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.6","Full calf binding with three rectangular frames and four decorative fleurons tooled in gold (17th century). Rebacked by of Cambridge, 1959.GrayGray",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.33","Half leather binding with marbled paper sides and white paper pastedowns on the inside covers, bound Stoakley ('Bound by Stoakley , late Hawes') of Cambridge, dated 1894 on the inside cover.; Binding height: 170mm; widht; 110mm; depth: 25mm.",,,,,1894,1894,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.12.23","From note by binder pasted on rear pastedown: 'Spine covered with brown Oasis Morocco, marbled paper sides, vellum tips, lettering labels.' Note of work signed ""SMC"" ('Sydney Morris Cockerell', i.e. , October 1958.Sandy Cockerell Cockerell, Sydney Morris",,,,,1958,1958,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Mm.6.17","Rebound in June 1961 by Douglas Cockerell and Son in Letchworth, according to a note inside the upper cover. Brown quarter leather and marbled paper covering over millboards, with plain pastedowns. The classmark and title Miscellanea are tooled on the spine in gold. Labels from a previous binding - including a strip of red Russia leather with the gold-stamped title: Tractatus M.S. and scraps onto which are printed the current classmark - are pasted inside the upper board.; Binding height: 270 mm, width: 160 mm, depth: 40 mm.",,,,,1700,1750,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.30",Quarter leather binding with brown leather on the spine and grey paper sides; a flat spine with blind-tooled quarters and red leather strip gold-tooled frame and gold-stamped inscription: ALKIMIA.; Binding height: 230mm; width: 160mm; depth: 35mm.,,,,,1800,1925,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.9","Until 2022, the manuscript had been bound together with CUL MSS Dd.6.8, Dd.6.10, and Dd.6.11, in a brown half leather binding with paper sides. The manuscript was disbound at the time of photography and cataloguing (2023) but was bound in a conservation binding in 2024.",,,,2024,2024,2024,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6","Bound in wooden boards, quarter red leather with blind-tooled interlace pattern on the front and rear covers and blind-tooled zig-zag patterning on the top and bottom edges. Stamped 'D.C. & Son 1928': i.e. .Douglas Cockerell and SonDouglas Cockerell and Son (Firm)",,,,1928,1928,1928,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 2994","Early 16th-century binding, style reminiscent of late-15th century work; stamped leather covers over bevelled oak boards. Rebacked and repaired by the Wilson bindery in 1889. The left cover is decorated with two concentric double-fillet frames with Oxford corners, the inner panel within the central frame divided in half horizontally with a double fillet, and each half-panel divided per saltire with a double fillet. A circular 'ihs' stamp impressed in each quarter-compartment and at the corners of the centre panel. Right cover is decorated with two concentric double-fillet frames with Oxford corners, the centre panel divided per saltire with a triple fillet. A square-matrix stamp of a stag lodged (seated with legs tucked under body) in each quarter-compartment of the central panel, each stamp decorated with a small dotted cross [⁜] tool in a round matrix at each corner. The stag tool is similar to but not the same as the two lodged stag tools used by the so-called 'Demon binder' on Cambridge, University Library, MS Add. 3022, as the MS Add. 2994 stag stamp presents the head in a different attitude and includes a small piece of foliage underneath the stag.; Remains of two hook-and-bar fastenings on each cover. The left cover retains two strap ends, the lower one tangible as a stub between the leather and the boards, the upper one visible and (?unusually) made of tawed skin stained red. The right cover retains a metal bar-fastening plate in the upper position, the lower one is gone. It should be noted that the strap ends and the fastening plates are not perfectly aligned.; Spine rebacked in a light brown polished leather decorated with geometric blind tooling. Three raised bands on spine. Spine capped at head and tail with no head or tail tabs or bands visible. Label of green leather tooled in gold affixed to spine: 'LYTTLETON'S TENURES | NATURA BREVIUM | M.S.S'. Two small printed paper labels affixed to spine: 'ADD' and '2994' for the present shelfmark.; Paper pastedowns pasted over the turn ins. The left pastedown contains: A stamp 'BOUND BY WILSON' and underneath a price and date '6£9. 1989' i.e., bound for 6 pounds and 9 shillings in 1889. A 'D' in pencil reflecting a CUL size-classification in use in the Department of Manuscripts at CUL. A brief handwritten record of the purchase of the volume by CUL: 'J. E. Cornish 1889 £2.2.0'. ; The right pastedown contains a textual and codicological summary of the contents of the volume in pencil, perhaps in the hand of , Cambridge University Librarian from 1889-1923.Francis Jenkinson Francis Jenkinson, Cambridge University Librarian (1853-1923) ; The volume is stored in a green slipcase with 'LYTTLETON' and 'Add 2994' tooled in gold on the face opposite the opening. ; Dimensions (L x W x D) not including slipcase: 294 x 208 x 45; It should be noted that Dr David Pearson kindly offered a brief assessment of this binding during the preparation of this record, but any mistakes or inaccuracies herein remain the responsibility of the author.",,,,,1500,1530,,,,,,,,,,,,
_binding_1,manuscript_1,,,MS Gg.6.42,"Full leather with two blind-tooled rectangular frames, 17th century (left cover, outer; right cover, outer). Each quire is sewn onto a parchment station.",,,,,1715,1799,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.8.12","17th century binding. Rebacked. Fully bound in calf leather over pasteboards with matching decoration to the left and right covers. Covers are each decorated with a blind double-fillet frame inset from the perimeter of the boards by c. 5mm. Head, fore, and tail edges of the boards decorated with a gilt single fillet.; The volume has been rebacked, probably in the 19th century. The replacement back has 7 raised bands, each with a gilt dotted single-fillet across the centre of the band (i.e., across the width of the spine). Spine compartments are decorated along their upper and lower perimeters with a gilt single-fillet. Upper and lower openings of the spine are each decorated with a gilt double-fillet.; Head and tail bands sewn in alternating segments of blue and cream yarn around a core of ?animal-derived cord. ; Title label BIBLIA HIERONYMI of Russia leather; the perimeter of the label decorated with two concentric frames: the outer frame a triple-fillet tooled in gold, the inner frame a simple foliate roll.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.5","Bound in alum-tawed pigskin; on the spine, blind-tooled zig-zag patterning at the head and foot, with >gold-tooled label and classmark. By , Cambridge University Library, 1980.Farrant, AlanAlan Farrant",,,,1980,1980,1980,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 5368","?12th century binding. Binding is damaged. Cover material gone. Rear board gone. Front board extant; oak with bevelled edges. Head and tail bands extant and sewn over a core of animal derived cord in herringbone stitch in a neutal cream yarn. Board only attached to quires by tailband slip, all other sewing slips broken at joint with left board, but still present in channels on left board. Semicircular head and tail tabs of tawed skin anchored under and by means of the head and tail bands in long stitch. Three split-strap sewing supports of tawed skin oversewn in herringbone stitch in a cream yarn and anchored into the left board in horizontal channels and secured with wooden pegs. Notch for metal fastening attachment in centre of fore-edge of left board with remains metal tacks in notch - probably used for the strap end of a strap-and-pin fastening. Small circular punctures in centre of left board and inset from each corner by c. 30mm. No pastedown. Scrap of former tawed skin cover, brittle (and ?damaged by fire).",,,,,1100,1200,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.51","Early 18th-century 'Cambridge' binding of stained brown calfskin with two blind-tooled panels consisting of a large rectangular frame of 2 lines around the cover's edges with a smaller rectangular frame with blind-stamped flower motifs in its corners at the centre.; The spine has a gold-stamped title label of red russia leather in a gold-tooled frame.; Paper pastedowns on the inside covers are leaves from an early modern printed book, containing a Latin poem with reference to Classical works, including Virgil's Aeneid.; Dark stained fore edges.; Binding height: 140mm; width: 100mm; depth: 25mm.",,,,,1700,1750,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Full brown tanned calfskin over pasteboards, probably 18th-century. Repaired by (label adhered to Stoakley and SonStoakleyfront pastedown), and rebacked and repairs to leather covers by W.H. Smith, July 1959 (note by on H.L. PinkPink, H. L.front pastedown).",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.53","Eighteenth-century paneled brown calf consisting of an outer frame of double and a central frame of triple blind-stamped lines with corner fleurons.; Binding height: 125 mm, width: 80 mm, depth: 55 mm.; Paper pastedowns on the inside covers contain printed text from a poem drawing from Classical sources, including Virgil's Aeneid (see also MS Ff.6.51).; Paper shelf mark labels and gold-tooled spine label of red Russia leather (goldstamped with the title: 'Tracts M.S.') from a previous binding have been pasted onto the inside upper cover.; Dark-tanned fore edge.; Rebacked. Three raised bands on the spine. Spine compartments separated with horizontal blind-tooled fillets on top of the raised band. The title ""Florilegium"" tooled in gold and in a rectangular label affixed to the spine the class-mark ""Ff.6.53"" tooled in gold. White head and tail bands. ; A note on f. [a] recto states that the manuscript was repaired by Douglas Cockerell and Son at Grantchester in August 1970.",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ff.1.23","Sixteenth-century binding (no later than 1574) from the 'Morocco Binder Group'. Fine brown leather over boards, gold-tooled frames and floral panels, with raised split cords and endbands, oval medallions above and below painted arms of (Matthew Parker (1504-1575), archbishop of Canterbury Parker, Matthew, 1504-1575sable a fess argent). Gilded and patterned fore-edges (not currently digitised). Two clasps gone. Mark of Cambridge University Library chain-stapling on the lower part of the fore-edge of the front cover.",,,,,1540,1574,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ii.2.12","Brown calf-skin, with blind-tooling comprising triple lines running in parallel with the edge of the boards, probably 17th century.; Note by on H.L. Pink Pink, H. L. front pastedown: 'Repaired by , Grantchester, May, 1966'. Rebacked with brown Morocco, with gold-tooled title and classmark on the spine.Douglas Cockerell and SonDouglas Cockerell and Son (Firm)",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Binding of quarter brown leather and marbled paper sides, by Douglas Cockerell of Grantchester, 1974.",,,,,1974,1974,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Brown full leather covering over pasteboards, 17th-century. Border and corner fleurons blind-tooled on the cover. Pastedowns (now lifted) recycled from a copy of Pablo de Santa Maria, Bishop of Burgos, Dialogus Pauli et Sauli contra Judæos, sive Scrutinium scripturarum (see ff. ii bis and v bis). Former classmarks on ii bis verso indicate that this leaf had previously been bound upside down, relative to the text it contains. Repaired by , Cambridge, July 1958: stamp on J.P. Gray and sonJ.P. Gray and Sonfront pastedown, with date supplied by H.L. Pink. Spine label ('Tracts M.S.'), gold-tooled on red leather, retained on front pastedown. Title and classmark tooled in gold on the spine ('Aelfric's Homilies' and 'Ii.1.33'), presumably added when repaired.",,,,,1600,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.43","Brown leather over wooden boards with five raised bands on the spine, athe gold-stamped title Devotiones and classmark Ii.6.43. This binding was made by W.H. Smith and Son, Ltd., at London in November 1958 (see the inscription on the inside of the front cover).; Binding height: 125mm; width: 90mm; depth: 35mm.; There are marks of what may have been a chain staple attached to a previous binding on the lower edges of ff. i-2.",,,,1958,1958,1958,,,,,,,,,,,,
_binding_1,manuscript_1,,,MS Add. 5948,The fragment is mounted in a melinex folder.,,,,,2000,2009,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ee.5.18","Brown half leather binding with marbled paper sides and vellum corners; binding made by Gray, Cambridge, in 1955 (see the stamp and inscription on the inside of the upper cover.; Binding height: 330mm; width: 230mm; depth: 30mm.",,,,,1955,1955,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4087","Late 14th- or early 15th-century binding of brown leather over wooden boards to five bands with blind-tooling of irregular patterns, featuring flowers, with marks that possibly represent alchemical symbols, initials, and a merchant's mark; with the remains of brass seatings for a catch and clasp, the latter now gone.; Binding height: 200mm; widht: 140mm; depth: 70mm",,,,,1375,1425,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9213","17th century (?second half) binding, 'probably bound for Sir Lionel Tollemache, 1648-1726, third Earl of Dysart' (Sotheby's Sale Catalogue for 6 December 1993, Lot 52). Full bound in sprinkled calf over millboard with matching decoration to left and right covers. Covers are decorated with a blind double fillet frame with Oxford corners inset from the perimeter of the board by c. 10mm. The cover material over the head, fore, and tail edges of the boards is decorated with a thick single fillet tooled in gold. Five raised bands on spine, each decorated with a blind double fillet through their centre (i.e., across the width of the spine). Spine compartments are decorated with a blind single fillet along their upper and lower perimeters. Head and tail bands are a beige fibre wrapped around a core of what appears to be straw or reed; head band is exposed as the upper opening of the spine has been torn away down to the first raised band. Two paper labels fixed to spine with an adhesive: - Upper label: 'Medical Tracts MSS XIII' in ink - Lower label: 'Add. 9213' in ink (the present Cambridge University Library shelfmark) ; No pastedowns; turn ins and inner faces of boards are exposed. The number '15' circled and struck through on the inner face of the left board.; Head, fore, and tail edges of the bookblock are stained red.; Paper bifolia forming two endleaves at each end of the bookblock (ff. ii-iii and ff. v-vi). Each paper bifolium has a watermark at the centrefold of a crown over a scroll-eared escutchon with two bendlets. This watermark is a close visual match for a watermark found in , a collection of partbooks of music composed by Thomas Talbot, probably copied in the 1630s. The watermark is printed in Ashbee, Thompson, and Wainwright (eds.), Oxford, Christ Church College, MS Mus. 1018-1020The Viola Da Gamba Society Index of Manuscripts Containing Consort Music, 2 vols (2014), II.302.; Parchment endleaves at the opening of the volume (ff. i and iv) are contemporary with the main text and have probably always travelled with the main quire stack as the opening endleaves.; A parchment stub at the end of the volume (f. vii) of a document dated to the 33rd and 34th regnal years of Queen Elizabeth I (c. November 1590 - November 1592).",,,,,1600,1750,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Full speckled calf with blind-tooled rectangular panel (?17th-century, probably after 1664 - see Acquisition).",,,,,1664,1700,medium,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.29","Binding by of Cambridge, dated 1958 by a note on the front pastedown. Millboard quarter binding with marbled paper covering and brown leather spine. The title and classmark are tooled in gold on the spine. GrayGray",,,,,1958,1958,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Gold-tooled olive morocco over wooden boards, with metal corner and centre pieces, gilt edges, and a red silk lining (19th century).",,,,,1800,1900,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4085","Green morocco with gold-tooling, by (see stamp on James Hayday (1796-1872)Hayday, James, 1796-1872rear pastedown).",,,,,1825,1840,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ee.5.22","18th-century binding. Half bound in Russia leather with speckled light brown paper sides over paste or mill boards. No head or tail bands visible. No raised bands visible. Lower opening of spine torn - about 20mm of the bookblock exposed. Red leather title label tooled in gold 'READINGS ON STATUTES M.S.'. Three printed paper labels fixed to the spine with an adhesive, 'EE' '5' and '22' for the current shelfmark; all three stickers show signs of wear and damage. ; Text in pencil on the left cover: 'Ee.5.22', 'Ee.v.22' and 'C'; the 'C' refers to a size-based classification and storage system used at Cambridge University Library.; Paper pastedowns pasted over the turn ins. The left pastedown contains the notes 'Ee.5.22' and 'C' in pencil for the present shelfmark and a size-based classification system used at Cambridge University Library.; One grey-brown paper flyleaf at each end of the volume (ff. i and ii), both blank.",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.27(1)","Full alum-tawed calf with jacket of the same material, bound by Jim Bloxam, Allan Farrant and Janet Coleby, Cambridge University Library, 1997. See Custodial History for further information.",,,,1997,1997,1997,,,,,,,,,,,,
