metadata: hand UID,metadata: file URL,metadata: collection,metadata: msID,metadata: shelfmark,metadata: part,metadata: part ID,metadata: part type,overview: hands,overview: total hands,person: scribe ref,person: hand n,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: loci,locus: locus,locus: from,locus: to,date: date,date: when,date: notAfter,date: notBefore,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
Brasenose_College_MS_57_hand_2,manuscript_14123,Brasenose College,Brasenose_College_MS_57,Brasenose College MS. 57,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Fragment_37_hand_1,manuscript_10003,Christ Church,Christ_Church_Allestree_Fragment_37,"Christ Church, Allestree fragments, no. 37",,Christ_Church_Allestree_Fragment_37,,Written in mixed anglicana/secretary.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Fragment_37_hand_2,manuscript_10003,Christ Church,Christ_Church_Allestree_Fragment_37,"Christ Church, Allestree fragments, no. 37",,Christ_Church_Allestree_Fragment_37,,Unpunctuated.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_F11_hand_1,manuscript_10004,Christ Church,Christ_Church_Allestree_Library_MS_F11,"Christ Church, Allestree Library MS. F.1.1",,Christ_Church_Allestree_Library_MS_F11,,"Written in late protogothic bookhand (no biting) with spatulate tops to minims, above top line.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_F11_hand_2,manuscript_10004,Christ Church,Christ_Church_Allestree_Library_MS_F11,"Christ Church, Allestree Library MS. F.1.1",,Christ_Church_Allestree_Library_MS_F11,,"Punctuation by point, punctus elevatus, and punctus interrogativus.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_L41_hand_1,manuscript_10006,Christ Church,Christ_Church_Allestree_Library_MS_L41,"Christ Church, Allestree Library MS. L.4.1",,Christ_Church_Allestree_Library_MS_L41,,"Written in gothic textura quadrata, with items 1 and 2 each having their own scribe and 3 written in a smaller script by the scribe of 4.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_L41_hand_2,manuscript_10006,Christ Church,Christ_Church_Allestree_Library_MS_L41,"Christ Church, Allestree Library MS. L.4.1",,Christ_Church_Allestree_Library_MS_L41,,"Punctuation by punctus elevatus, double point, virgula, and occasional middle point.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_M110_hand_1,manuscript_10007,Christ Church,Christ_Church_Allestree_Library_MS_M110,"Christ Church, Allestree Library MS. M.1.10",,Christ_Church_Allestree_Library_MS_M110,,Written in protogothic bookhand.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_Allestree_Library_MS_M110_hand_2,manuscript_10007,Christ Church,Christ_Church_Allestree_Library_MS_M110,"Christ Church, Allestree Library MS. M.1.10",,Christ_Church_Allestree_Library_MS_M110,,"Punctuation by point, punctus elevatus, and punctus interrogativus; punctus versus at ends of chapters and texts.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_87_hand_1,manuscript_3961,Christ Church,Christ_Church_MS_87,Christ Church MS. 87,,Christ_Church_MS_87,,"Written in gothic textura quadrata by five scribes: A = fols 1ra-104vb; B = fols 105ra-124vb, 132ra-165ra; C = fols 165rb-180rb; D = fols 183ra-191rb; E = fols 191va-283ra. Their work has been supplemented by two later additions, each in its own textura (s. xv), to fill in gaps, fols 125–31 and fols 181–82.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_87_hand_2,manuscript_3961,Christ Church,Christ_Church_MS_87,Christ Church MS. 87,,Christ_Church_MS_87,,"Punctuation by point, puntus elevatus, punctus interrogativus, and (scribe E only) double point.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_88_hand_1,manuscript_3962,Christ Church,Christ_Church_MS_88,Christ Church MS. 88,,Christ_Church_MS_88,,Written in protogothic bookhand.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_88_hand_2,manuscript_3962,Christ Church,Christ_Church_MS_88,Christ Church MS. 88,,Christ_Church_MS_88,,"Punctuation by low point, punctus elevatus, and punctus interrogativus.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_88_hand_3,manuscript_3962,Christ Church,Christ_Church_MS_88,Christ Church MS. 88,,Christ_Church_MS_88,,"The scribe of this manuscript has been said to be the ‘Master Scribe’ of the scriptorium at Buildwas in its early years: Jennifer M. Sheppard, ‘The Twelfth Century Library and Scriptorium at Buildwas: Assessing the Evidence’ in Daniel Williams ed., England in the Twelfth Century (Woodbridge, 1990), 193–204 at 198–201, and ead., The Buildwas Books: Book Production, Acquisition and Use at an English Cistercian Monastery, 1165-c. 1400, Oxford Bibliographical Society 3 ser. 2 (Oxford, 1997), 4. She identifies him as the copyist of the final sections of another Buildwas book, Cambridge: Trinity College, MS B.1.3 (Gregory, Homeliæ in Ezechielem), a manuscript in which the opening flyleaves are discarded leaves in a script which Sheppard attributes to the ‘Flyleaf Scribe’ who, she hypothesises, was a fellow pupil of the ‘Master Scribe’. However, though there are similarities between the script here and her ‘Master Scribe’, there are enough differences to query the attribution. The differences are both in letter-forms – there are shared features in thegbut they are formed rather differently, with our scribe placing the lower bowl a little to the right of the upper bowl – and in presentation, with the last scribe of Trinity MS B.13 writing slightly above the line, while our scribe writes on it. Overall, the aspect of the script in this manuscript is more accomplished. Given the near-contemporaneous production of the two volumes, this is unlikely to be a reflection of increasing ability; it may rather be that our scribe was the master to the so-called ‘Master Scribe’ – and to the ‘Flyleaf Scribe’ who, it might be added, is so close in style to the ‘Master’ that the two are surely one. The role of our scribe as overseer would also explain Sheppard’s plausible supposition that our scribe produced not just the initials in this volume but also one in a further Buildwas book, London: Lambeth Palace Library, MS 109, fol. 16 (Gregory, Moralia; reproduced in 1990 as plate 18, and, in 1997, as figure 2, in both instances as from fol. 12).",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_89_hand_1,manuscript_3963,Christ Church,Christ_Church_MS_89,Christ Church MS. 89,,Christ_Church_MS_89,,"Written in small, slightly uneven gothic textura semiquadrata.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_89_hand_2,manuscript_3963,Christ Church,Christ_Church_MS_89,Christ Church MS. 89,,Christ_Church_MS_89,,Punctuation by low point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_1,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript I = fols 1–134,Christ_Church_MS_91-part1,,"Two scribes in differing formats: A = fols 1 ra-116vb (items 1–5). Written in anglicana with secretary a, s. xv med. Punctuation by point and virgula.B = fols 117 ra-34vb (items 6–10). Written in anglicana with double-bowled a, s. xv3/4. Punctuation by occasional point.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_2,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript II = fols 135–65,Christ_Church_MS_91-part2,,"Written in anglicana with secretary r, s. xvmed.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_3,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript II = fols 135–65,Christ_Church_MS_91-part2,,"Punctuation by point and occasional double point; double virgulae, probably instructions for a parapher, have only been red-slashed.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_4,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript III = fols 166–94,Christ_Church_MS_91-part3,,"Written in anglicana with frequent secretary a, s. xv3/4.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_5,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript III = fols 166–94,Christ_Church_MS_91-part3,,"Punctuation by point and virgula, occasional punctus elevatus and double virgula.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_6,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript IV = fols 195–230,Christ_Church_MS_91-part4,,"Written in gothic textura quadrata, s. xiiimed or xiii2.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_91_hand_7,manuscript_3965,Christ Church,Christ_Church_MS_91,Christ Church MS. 91,Manuscript IV = fols 195–230,Christ_Church_MS_91-part4,,"Punctuation by point, occasional punctus elevatus, punctus interrogativus, and double point.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_92_hand_1,manuscript_3966,Christ Church,Christ_Church_MS_92,Christ Church MS. 92,,Christ_Church_MS_92,,"Written in gothic textura quadrata, the contents quire by a different scribe from the remainder, and with some corrections, probably reflecting in-production changes of plan or situation.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_92_hand_2,manuscript_3966,Christ Church,Christ_Church_MS_92,Christ Church MS. 92,,Christ_Church_MS_92,,Punctuation by mid point.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_93_hand_1,manuscript_3967,Christ Church,Christ_Church_MS_93,Christ Church MS. 93,,Christ_Church_MS_93,,Written in French bastard secretary (lettre bâtarde); punctuation by point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_93_hand_2,manuscript_3967,Christ Church,Christ_Church_MS_93,Christ Church MS. 93,,Christ_Church_MS_93,,"The scribe has not been previously identified but appears to be Jean Dubreuil, who signed Lyons: Bibliothèque muncipale, MS 5154 (Hours of Jacques of Langeac).",,,,,Jean Dubreuil,person_2615,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_93_hand_3,manuscript_3967,Christ Church,Christ_Church_MS_93,Christ Church MS. 93,,Christ_Church_MS_93,,"On the scribe and his connexions with the illuminator of this volume, Maître François, see Thomas Kren, ‘Seven Illuminated Books of Hours Written by the Parisian Scribe Jean Dubreuil, c. 1475–1485’ in Bernard J. Muir ed., Reading Texts and Images. Essays on Medieval and Renaissance Art and Patronage in honour of Margaret M. Manion (Exeter, 2002), 157–200.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_94_hand_1,manuscript_3968,Christ Church,Christ_Church_MS_94,Christ Church MS. 94,,Christ_Church_MS_94,,Written in gothic textura quadrata (perhaps not French but Flemish?).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_94_hand_2,manuscript_3968,Christ Church,Christ_Church_MS_94,Christ Church MS. 94,,Christ_Church_MS_94,,Punctuation by occasional point..,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_95_hand_1,manuscript_3969,Christ Church,Christ_Church_MS_95,Christ Church MS. 95,,Christ_Church_MS_95,,"Written in protogothic bookhand, s. xii in.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_95_hand_2,manuscript_3969,Christ Church,Christ_Church_MS_95,Christ Church MS. 95,,Christ_Church_MS_95,,"Punctuation by point, occasional punctus elevatus and punctus interrogativus (in both text and gloss).",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_97_hand_1,manuscript_3970,Christ Church,Christ_Church_MS_97,Christ Church MS. 97,,Christ_Church_MS_97,,"Written in gothic textura quadrata, above top line.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_97_hand_2,manuscript_3970,Christ Church,Christ_Church_MS_97,Christ Church MS. 97,,Christ_Church_MS_97,,Punctuation by point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_98_hand_1,manuscript_3971,Christ Church,Christ_Church_MS_98,Christ Church MS. 98,,Christ_Church_MS_98,,Written in gothic textura semiquadrata (early portions in precissa).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_98_hand_2,manuscript_3971,Christ Church,Christ_Church_MS_98,Christ Church MS. 98,,Christ_Church_MS_98,,Punctuation by point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_1,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99, Manuscript I = fols 1–42,,,Written in gothic textura quadrata.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_2,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99, Manuscript I = fols 1–42,,,Punctuation by low point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_3,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript II = fols 43–50,,,Written in gothic textura semiquadrata.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_4,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript II = fols 43–50,,,"Punctuation by point, punctus elevatus, and virgula..",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_5,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript III = fols 51–115,,,"Written in gothic textura semiquadrata, by two scribes, the second taking up at fol. 80va, and the first filling blank leaves at the end of the book with items 5–6.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_6,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript III = fols 51–115,,,Punctuation by point and punctus elevatus (both scribes).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_7,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript IV = fols 116–225,,,"Written in anglicana (frequent textura r), by a scribe called ‘Syrg[en]ham’: the name is written, rubricated, at fol. 139, below the last line of text of item 8 and above the title of item 9; it is lightly erased but partially recoverable under UV.",,,,,Syrg[en]ham,person_2688,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_8,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript IV = fols 116–225,,,"Punctuation by point only, unfilled double virgulae left as instructions for a parapher.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_9,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript V = fols 226–60,,,Written in gothic textura quadrata (above top line).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_99_hand_10,manuscript_3972,Christ Church,Christ_Church_MS_99,Christ Church MS. 99,Manuscript V = fols 226–60,,,Punctuation by point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_100_hand_1,manuscript_3907,Christ Church,Christ_Church_MS_100,Christ Church MS. 100,,Christ_Church_MS_100,,Written in French bastard secretary (lettre bâtarde).,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_100_hand_2,manuscript_3907,Christ Church,Christ_Church_MS_100,Christ Church MS. 100,,Christ_Church_MS_100,,Punctuation by occasional point.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_101_hand_1,manuscript_3908,Christ Church,Christ_Church_MS_101,Christ Church MS. 101,,Christ_Church_MS_101,,"Written throughout in a littera antiqua identifiable as that of Pieter Meghen. To him, about thirty books have been attributed in a series of articles by J. B. Trapp. Meghen’s career in England was underway in 1502 (when he copied what is now New Haven: Yale University Beinecke Library, MS Osborn a50 – a codex unknown to Trapp – for Christopher Urswick); in subsequent years, he was routinely employed by Erasmus and John Colet, and, after 1528, he worked in and around the court, first for Wolsey and Nicolaus Kratzer, the king’s astronomer, then as ‘Writer of the King’s Books’. See Trapp’s ‘Notes on Manuscripts written by Peter Meghen’, Book Collector 24 (1975), 80–96; ‘Pieter Meghen 1466/7–1540 scribe and courier’, Erasmus in English 11 (1981–82), 28–35; ‘Pieter Meghen, yet again’, Manuscripts in the Fifty Years after the Invention of Printing (London, 1983), 23–28. Trapp gave his most extensive listing of Meghen’s books in ‘Notes’, where (91–92) this manuscript is no. 15, and the companion volume, Oxford: Magdalen College, MS lat. 223, no. 14. On Meghen, see also Andrew J. Brown, ‘The Date of Erasmus’ Latin Translation of the New Testament’, Transactions of the Cambridge Bibliographical Society, viii (1984), 351–380, and David Rundle, The Renaissance Reform of the Book and Britain (Cambridge, forthcoming), ch. 4.",,,,,Pieter Meghen,person_65390607,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_101_hand_2,manuscript_3908,Christ Church,Christ_Church_MS_101,Christ Church MS. 101,,Christ_Church_MS_101,,"Punctuation by point and double point; three forms of stress-mark placed above words, added a little after production (see provenance).",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_102_hand_1,manuscript_3909,Christ Church,Christ_Church_MS_102,Christ Church MS. 102,,Christ_Church_MS_102,,Written in anglicana with a secretary ductus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_102_hand_2,manuscript_3909,Christ Church,Christ_Church_MS_102,Christ Church MS. 102,,Christ_Church_MS_102,,"Generally unpunctuated, sparing use of point, punctus elevatus, and double point.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_103_hand_1,manuscript_3910,Christ Church,Christ_Church_MS_103,Christ Church MS. 103,,Christ_Church_MS_103,,"Written in anglicana, s. xiii/xiv.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_103_hand_2,manuscript_3910,Christ Church,Christ_Church_MS_103,Christ Church MS. 103,,Christ_Church_MS_103,,Punctuation by mid point and occasional punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_104_hand_1,manuscript_3911,Christ Church,Christ_Church_MS_104,Christ Church MS. 104,,Christ_Church_MS_104,,"Written in gothic secretary with frequent use of anglicana double-bowled g, with headings and section openings in a thick gothic textura quadrata which is the height of two lines.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_104_hand_2,manuscript_3911,Christ Church,Christ_Church_MS_104,Christ Church MS. 104,,Christ_Church_MS_104,,"The scribe adds occasional annotations in margins and central reservation (eg fol. 221, 227, 234, 306).",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_104_hand_3,manuscript_3911,Christ Church,Christ_Church_MS_104,Christ Church MS. 104,,Christ_Church_MS_104,,Punctuation by point only.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_105_hand_1,manuscript_3912,Christ Church,Christ_Church_MS_105,Christ Church MS. 105,,Christ_Church_MS_105,,"Written in gothic textura semiquadrata, below top line; item 2 is written in textura semiquadrata, s. xiiiex.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_105_hand_2,manuscript_3912,Christ Church,Christ_Church_MS_105,Christ Church MS. 105,,Christ_Church_MS_105,,"Punctuation by point, punctus elevatus, and punctus interrogativus.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_106_hand_1,manuscript_3913,Christ Church,Christ_Church_MS_106,Christ Church MS. 106,,Christ_Church_MS_106,,Written in gothic textura quadrata.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_106_hand_2,manuscript_3913,Christ Church,Christ_Church_MS_106,Christ Church MS. 106,,Christ_Church_MS_106,,Punctuation by point only.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_107_hand_1,manuscript_3914,Christ Church,Christ_Church_MS_107,Christ Church MS. 107,,Christ_Church_MS_107,,"Punctuation by point, punctus interrogativus, and occasional punctus elevatus.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_108_hand_1,manuscript_3915,Christ Church,Christ_Church_MS_108,Christ Church MS. 108,,Christ_Church_MS_108,,"Written in gothic textura rotunda, probably a pair of scribes alternating sections.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_108_hand_2,manuscript_3915,Christ Church,Christ_Church_MS_108,Christ Church MS. 108,,Christ_Church_MS_108,,Punctuation by point and punctus elevatus.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_109_hand_1,manuscript_3916,Christ Church,Christ_Church_MS_109,Christ Church MS. 109,,Christ_Church_MS_109,,"Written in gothic textura quadrata (although there are changes of pen and ink, and of format, a single hand for the Bible); and in gothic textura rotunda (texts 2 and 3).",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_109_hand_2,manuscript_3916,Christ Church,Christ_Church_MS_109,Christ Church MS. 109,,Christ_Church_MS_109,,Punctuation by point only.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_110_hand_1,manuscript_3917,Christ Church,Christ_Church_MS_110,Christ Church MS. 110,,Christ_Church_MS_110,,"Written in gothic textura quadrata, showing some anglicana influence in the decorative top-line ascenders.",3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_110_hand_2,manuscript_3917,Christ Church,Christ_Church_MS_110,Christ Church MS. 110,,Christ_Church_MS_110,,"A collaboration between probably three scribes, with a change of hand at fol. 160 and most of the New Testament in the third hand.",3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_110_hand_3,manuscript_3917,Christ Church,Christ_Church_MS_110,Christ Church MS. 110,,Christ_Church_MS_110,,"All three scribes punctuate by point, the first also by punctus versus; many of these have been altered, especially in the first and third stints, to punctus versus, virgula, punctus elevatus, and comma.",3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_111_hand_1,manuscript_3918,Christ Church,Christ_Church_MS_111,Christ Church MS. 111,,Christ_Church_MS_111,,Written in gothic textura quadrata.,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_111_hand_2,manuscript_3918,Christ Church,Christ_Church_MS_111,Christ Church MS. 111,,Christ_Church_MS_111,,"Punctuation by point, punctus elevatus, and punctus interrogativus.",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Christ_Church_MS_112_hand_1,manuscript_3919,Christ Church,Christ_Church_MS_112,Christ Church MS. 112,,Christ_Church_MS_112,,"The calendar is in gothic textura quadrata, while the bulk of the manuscript is probably all by a single Parkerian scribe, though writing at several sittings. For the main part (fol. iii-viiiv, 1–64), he writes a bookhand which has been described as ‘formal secretary’, adorned with gothic display text. This combination of scripts by the same scribe is to be found in other manuscripts owned by Matthew Parker, appearing, for instance, at Cambridge: Corpus Christi College, MS 101, pp. 145–192, MS 61 and MS 488; through the good offices of Alexandra Gillespie, the scribe has been identified as Stephen Batman, on whom see M. B. Parkes, ‘Stephen Batman’s Manuscripts’ in Masahiko Kanno et al. ed., Medieval Heritage. Essays in honour of Tadahiro Ikegami (Tokyo, 1997), 125–56 [republished in Parkes’s Pages from the Past (Farnham, 2012), and A. S. G. Edwards & Simon Horobin, ‘Further Books annotated by Stephen Batman, The Library, 7th ser., 11 (2010), 227–31",,,,,Stephen Batman,person_52035948,,0,,,,,,,,,,,,,,,,,,,,,
